2026-08-22T17:00:00Z — Engagement iniciado para alldebrid-com-real-debrid-com
2026-08-22T17:00:00Z — SCOPE.md criado
2026-08-22T17:00:00Z — PLAN.md criado
2026-08-22T17:00:00Z — REPORT.md criado
2026-08-22T17:00:00Z — timeline.log criado
2026-08-22T17:00:00Z — Estrutura de pastas criada
2026-08-22T17:00:00Z — Fase 1 (Escopo) concluída
2026-08-22T17:00:00Z — Iniciando Fase 2: Recon passivo + OSINT (delegando para recon-passive)
2026-08-22T18:25:00Z — passive-recon COMPLETE | real-debrid.com | 80 subs, 73 live, 35+ IPs, 8 ASNs, WebDAV auth, API docs, CDN77/Fastly, no takeover, payment PII in Wayback
2026-08-22T18:00:00Z — passive-recon COMPLETE | alldebrid.com | 44 subs, 30 live, 30+ IPs, 5 ASNs, Cloudflare bypass via mail.alldebrid.com (212.83.131.119), admin panels in wayback, ASP.NET stack, staging payments
2026-08-22T19:00:00Z — attack-surface CONSOLIDATED | SUMMARY.md created with payoff ranking for 18 vectors across both targets
2026-08-22T19:00:00Z — NEXT: delegating to recon-active for portscan + service fingerprint on all origin IPs
2026-08-22T18:37:00Z | active-recon | STARTED | alldebrid.com primary IP portscan
2026-08-22T18:48:00Z | active-recon | STARTED | alldebrid.com top-1000 portscan
2026-08-22T18:51:00Z | active-recon | COMPLETE | alldebrid.com key ports (9 open: mail stack)
2026-08-22T18:52:00Z | active-recon | COMPLETE | alldebrid.com service fingerprint (Postfix/Dovecot/nginx)
2026-08-22T18:54:00Z | active-recon | STARTED | real-debrid.com GitLab IP scan (timeout)
2026-08-22T18:58:00Z | active-recon | COMPLETE | real-debrid.com 81.85.62.11 key ports (80, 443 open)
2026-08-22T19:00:00Z | active-recon | COMPLETE | real-debrid.com 81.85.62.11 service fingerprint (timeout)
2026-08-22T19:03:00Z | active-recon | COMPLETE | real-debrid.com httpx tech-detect on 73 live hosts
2026-08-22T19:04:00Z | active-recon | COMPLETE | WAF detection on 7 real-debrid hosts (my=403→200 bypass!)
2026-08-22T19:07:00Z | active-recon | COMPLETE | alldebrid endpoints on origin IP (all 404 except mail UI)
2026-08-22T19:08:00Z | active-recon | COMPLETE | alldebrid ASP.NET hosts (s18=IIS 10.0, dev.payments=401 Basic)
2026-08-22T19:10:00Z | active-recon | COMPLETE | s18.alldebrid.com service detection: IIS 10.0 + HTTPAPI 2.0
2026-08-22T19:30:00Z | active-recon | COMPLETE | ACTIVE.md + SUMMARY.md updated with active recon findings
2026-08-22T19:30:00Z | NEXT | delegating to enum for deep enumeration: GitLab direct connect, WebDAV creds, API docs, 403 bypass, ASP.NET testing
2026-08-22T20:50:00Z | enum | COMPLETE | ALL TARGETS | SSRF on my.real-debrid.com/render?url=, Mailcow OAuth, REST API v1.0, IIS method tampering, WebDAV auth
2026-08-22T20:50:00Z | NEXT | delegating to webapp for attack phase | Priority: SSRF > OAuth > API IDOR > IIS ViewState > WebDAV creds
2026-08-22T19:32:28Z | enum | STARTED | Deep enumeration phase initiated for both targets
2026-08-22T19:32:46Z | enum | INFO | gitlab.real-debrid.com: All ports closed (80,443,8443,8080,5000,3000,9090) - likely internal/VPN only
2026-08-22T19:33:05Z | enum | STARTED | Content discovery for real-debrid.com high-priority targets
2026-08-22T20:32:00Z | enum | STARTED | Deep enumeration for all high-priority targets
2026-08-22T20:32:30Z | enum | INFO | gitlab.real-debrid.com port 443 connection refused (confirmed closed)
2026-08-22T20:33:00Z | enum | INFO | s18.alldebrid.com IIS 10.0 HTTP -> 302 google.com redirect; POST/PUT -> 411 (method bypass)
2026-08-22T20:33:15Z | enum | INFO | api.real-debrid.com OAuth2 endpoints exist: /oauth/v2/auth, /oauth/v2/device/code, /oauth/v2/token
2026-08-22T20:34:00Z | enum | FINDING | Public API endpoints: /rest/1.0/hosts (200), /rest/1.0/hosts/domains (200), /rest/1.0/hosts/regex (200), /rest/1.0/hosts/regexFolder (200) - NO AUTH REQUIRED
2026-08-22T20:35:00Z | enum | STARTED | ffuf content discovery on 8 hosts in parallel
2026-08-22T20:36:00Z | enum | FINDING | my.real-debrid.com WAF bypass: Non-GET methods (POST/PUT/DELETE/OPTIONS/PATCH) return 404 instead of 403
2026-08-22T20:36:30Z | enum | INFO | dev.payments.alldebrid.com Basic Auth tested - 8 common creds all failed (401)
2026-08-22T20:36:40Z | enum | FINDING | fcdn.real-debrid.com CORS: access-control-allow-origin: * (Flash/XSS vector)
2026-08-22T20:37:00Z | enum | FINDING | mail.alldebrid.com identified as Mailcow! /SOGo/so/ webmail, /oauth/token endpoint, /admin/ panel
2026-08-22T20:37:30Z | enum | FINDING | Mailcow OAuth2: /oauth/token supports password, authorization_code, refresh_token grants
2026-08-22T20:40:00Z | enum | FINDING | real-debrid.com: 42 accessible pages, /authorize (17B OAuth), crossdomain.xml allows * to ports 80,443
2026-08-22T20:41:00Z | enum | FINDING | alldebrid.com: 575 ffuf results, /webdav (401!), /dns-query endpoint, /tools (52KB), /resellers (91KB)
2026-08-22T20:42:00Z | enum | FINDING | cdn.real-debrid.com: /torrents/ returns 301 (potential torrent directory)
2026-08-22T20:43:00Z | enum | COMPLETE | JS analysis: no API endpoints/secrets in JS files for either target
2026-08-22T20:45:00Z | enum | COMPLETE | WebDAV credential testing: 8 common combos all rejected at auth level
2026-08-22T20:50:00Z | enum | COMPLETE | ENUM.md consolidated - 27 vulnerability candidates identified (11 alldebrid + 16 real-debrid)
2026-08-22T20:49:00Z | enum | FINDING | my.real-debrid.com POST ffuf: /render endpoint discovered (SSRF candidate!) - server IP 193.189.100.201 leaked in error page
2026-08-22T20:50:00Z | enum | COMPLETE | Deep enumeration phase for all targets - ENUM.md consolidated with 27+ candidates
2026-08-22T20:54:00Z | webapp | STARTED | Attack phase initiated
2026-08-22T20:54:57Z | webapp | TEST | SSRF /render: GET/POST → 400 (app validation), double-encode GET → 403 (WAF), double-encode POST/PUT/PATCH → 404 (bypass total)
2026-08-22T20:57:21Z | webapp | TEST | Mailcow OAuth: 9 client_ids all fail (invalid_client), /admin/ login form discovered (login_user, pass_user), CSRF token extracted
2026-08-22T20:57:21Z | webapp | TEST | API IDOR: /torrents/info/1, /downloads all → bad_token (requires auth)
2026-08-22T20:57:21Z | webapp | TEST | WebDAV: 92 cred combos → 403 BadAuthorization (all fail), PROPFIND XXE blocked by auth
2026-08-22T21:00:01Z | webapp | TEST | IIS s18: POST/default.aspx → 302 redirect (google.com), all paths catch URL Rewrite
2026-08-22T21:00:02Z | webapp | TEST | dev.payments: SQLi/NoSQLi/empty creds → 401 (no bypass)
2026-08-22T21:00:02Z | webapp | TEST | API Mass assignment: /settings/update → bad_token
2026-08-22T21:00:29Z | webapp | TEST | DAV OPTIONS: WebDAV 1,2 confirmed, auth required
2026-08-22T21:01:44Z | webapp | TEST | SSRF: even valid hoster URL → 400 (IP block, not URL validation)
2026-08-22T21:02:10Z | webapp | TEST | real-debrid.com/authorize: "Invalid Client/Device ID" for 25 client_id variations
2026-08-22T21:05:00Z | webapp | COMPLETE | Attack phase complete — 4 new evidence files (F-026 through F-029)
2026-08-22T21:05:00Z | NEXT | delegating to cve for CVE/exploit research | Priority: Mailcow CVEs, ASP.NET IIS, CDN77 CVE, OAuth CVEs
2026-08-22T21:00:00Z | cve | STARTED | CVE Research for 6 service categories (Mailcow, IIS, Postfix, Dovecot, Varnish, WebDAV)
2026-08-22T21:10:00Z | cve | DATA | NVD API: 24 mailcow CVEs, 26 Varnish CVEs, 3 ASP.NET ViewState, 25 Dovecot CVEs, 3 WebDAV XXE
2026-08-22T21:12:00Z | cve | DATA | SOGo CVEs: NVD API rate limited (429). Manual search needed.
2026-08-22T21:13:00Z | cve | DATA | Specific CVEs confirmed: CVE-2025-53909 (SSTI/RCE 9.1), CVE-2023-51764 (SMTP Smuggling 5.3), CVE-2024-23184/5 (Dovecot DoS)
2026-08-22T21:14:00Z | cve | POC | Cloned CVE-2023-51764 PoCs to exploit/pocs/CVE-2023-51764/ and exploit/pocs/CVE-2023-51764-alt/
2026-08-22T21:15:00Z | cve | COMPLETE | cve_research.md + 5 per-service detail files + 2 PoCs cloned
2026-08-22T21:15:00Z | cve | NEXT | Priority 1: CVE-2025-53909 (SSTI 9.1) — determine Mailcow version. Priority 2: CVE-2023-51764 (SMTP smuggling) — test PoC. Priority 3: CVE-2022-23959 (Varnish cache poison) — monitor backend.
