FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,duration,resultfile,Ffufhash
webmail,https://200.150.200.210/,,7,500,69,10,1,text/html; charset=UTF-8,12.300025611s,,e14bc7
lists,https://200.150.200.210/,,73,500,69,10,1,text/html; charset=UTF-8,14.911089581s,,e14bc49
forum,https://200.150.200.210/,,71,500,69,10,1,text/html; charset=UTF-8,14.94675675s,,e14bc47
cpcalendars,https://200.150.200.210/,,69,500,69,10,1,text/html; charset=UTF-8,15.032442859s,,e14bc45
ns5,https://200.150.200.210/,,74,500,69,10,1,text/html; charset=UTF-8,14.757276757s,,e14bc4a
stats,https://200.150.200.210/,,84,500,68,10,1,text/html; charset=UTF-8,14.503219102s,,e14bc54
backup,https://200.150.200.210/,,64,500,68,10,1,text/html; charset=UTF-8,11.059046938s,,e14bc40
office,https://200.150.200.210/,,81,500,69,10,1,text/html; charset=UTF-8,14.737669842s,,e14bc51
www3,https://200.150.200.210/,,90,500,69,10,1,text/html; charset=UTF-8,12.352754798s,,e14bc5a
auth,https://200.150.200.210/,,87,500,69,10,1,text/html; charset=UTF-8,15.812828757s,,e14bc57
uthumbs,https://200.150.200.210/,,91,500,69,10,1,text/html; charset=UTF-8,13.609421508s,,e14bc5b
apps,https://200.150.200.210/,,96,500,69,10,1,text/html; charset=UTF-8,9.440374277s,,e14bc60
status,https://200.150.200.210/,,94,500,69,10,1,text/html; charset=UTF-8,13.07564999s,,e14bc5e
d,https://200.150.200.210/,,114,500,69,10,1,text/html; charset=UTF-8,11.699609442s,,e14bc72
nagios,https://200.150.200.210/,,113,500,69,10,1,text/html; charset=UTF-8,12.245085071s,,e14bc71
sso,https://200.150.200.210/,,111,500,68,10,1,text/html; charset=UTF-8,13.8208583s,,e14bc6f
meet,https://200.150.200.210/,,110,500,69,10,1,text/html; charset=UTF-8,15.476023256s,,e14bc6e
mail1,https://200.150.200.210/,,120,500,69,10,1,text/html; charset=UTF-8,14.315635943s,,e14bc78
link,https://200.150.200.210/,,121,500,69,10,1,text/html; charset=UTF-8,14.496002609s,,e14bc79
go,https://200.150.200.210/,,123,500,69,10,1,text/html; charset=UTF-8,12.40589122s,,e14bc7b
cs,https://200.150.200.210/,,130,500,68,10,1,text/html; charset=UTF-8,9.668334172s,,e14bc82
open,https://200.150.200.210/,,846,500,68,10,1,text/html; charset=UTF-8,10.522416874s,,e14bc34e
eshop,https://200.150.200.210/,,876,500,68,10,1,text/html; charset=UTF-8,14.419821857s,,e14bc36c
call,https://200.150.200.210/,,868,500,68,10,1,text/html; charset=UTF-8,17.340830617s,,e14bc364
xxx,https://200.150.200.210/,,865,500,69,10,1,text/html; charset=UTF-8,17.652039619s,,e14bc361
out,https://200.150.200.210/,,889,500,68,10,1,text/html; charset=UTF-8,12.147189691s,,e14bc379
zendesk2,https://200.150.200.210/,,905,500,68,10,1,text/html; charset=UTF-8,11.07393045s,,e14bc389
