% Copyright (c) Nic.br - Use of this data is governed by the Use and
% Privacy Policy at https://registro.br/upp . Distribution,
% commercialization, reproduction, and use for advertising or similar
% purposes are expressly prohibited.
% 2026-09-13T17:15:13-03:00 - 18.230.157.93

domain:      cursosdetransito.com.br
owner:       IbacBrasil - Tecnologias Educacionais Ltda.
ownerid:     05.974.557/0001-47
responsible: Fernando Halfen
country:     BR
owner-c:     IIE28
tech-c:      IIE28
nserver:     josh.ns.cloudflare.com
nsstat:      20260912 AA
nslastaa:    20260912
nserver:     naomi.ns.cloudflare.com
nsstat:      20260912 AA
nslastaa:    20260912
saci:        yes
created:     20130827 #11910731
changed:     20230817
expires:     20280827
status:      published

nic-hdl-br:  IIE28
person:      IBaC- Inst. Base de Conteudos Tec Educac
e-mail:      suporte@ibacbrasil.com
country:     BR
created:     20031111
changed:     20260114

% Security and mail abuse issues should also be addressed to cert.br,
% respectivelly to cert@cert.br and mail-abuse@cert.br
%
% whois.registro.br only accepts exact match queries for domains,
% registrants, contacts, tickets, providers, IPs, and ASNs.
