Total courses: 30
Aggregate participants: 129, in-progress: 109, finished: 6
Owner: {'id': 'f6283dba-6561-4bbc-873f-b2dcecda1f5d', 'fullName': 'Cursos Prepare', 'userId': 'f6283dba-6561-4bbc-873f-b2dcecda1f5d'}

Title                                         | Steps | Parts | Prog  | Done | Price
Prefeitura de Agudo                           | 29    | 1     | 1     | 0    | 190
Legislação de  Redentora - RS                 | 4     | 0     | 0     | 0    | 40
Prefeitura de Relvado                         | 19    | 1     | 1     | 0    | 190
Oficial, Auxiliar e Assistente Administrati   | 7     | 7     | 6     | 0    | ?
Prefeitura de Cachoeira do Sul                | 4     | 2     | 1     | 0    | 280
Legislação Toropi                             | 6     | 2     | 1     | 0    | 50
Prefeitura de Toropi                          | 10    | 9     | 8     | 0    | 90
Prefeitura de Redentora - Professores - RS    | 28    | 0     | 0     | 0    | 150
Prefeitura de Redentora - RS                  | 36    | 0     | 0     | 0    | 190
Tapera - Fundamentos da Educação              | 14    | 0     | 0     | 0    | 50
Prefeitura de Tapera - Professores - RS       | 28    | 2     | 2     | 0    | 150
Prefeitura de Tapera - RS                     | 38    | 14    | 13    | 0    | 190
Santa Rosa - Professores                      | 22    | 1     | 1     | 0    | 120
Legalle - Informática                         | 18    | 0     | 0     | 0    | 50
Legalle - Matemática                          | 5     | 0     | 0     | 0    | 50
Legalle - Fundamentos da Educação             | 8     | 0     | 0     | 0    | 60
Legalle - Língua Portuguesa                   | 5     | 0     | 0     | 0    | 50
Legislação - Silveira Martins                 | 5     | 4     | 3     | 0    | 50
Prefeitura de Ijuí                            | 29    | 5     | 5     | 0    | 190
Silveira Martins - Professores                | 20    | 16    | 13    | 0    | 150
Prefeitura de Silveira Martins                | 18    | 28    | 26    | 0    | 190
Curso Legalle                                 | 15    | 1     | 0     | 1    | 120
Legislação - Fundatec                         | 9     | 0     | 0     | 0    | 40
Língua Portuguesa - Fundatec                  | 7     | 2     | 2     | 0    | 40
Raciocínio Lógico - Fundatec                  | 4     | 1     | 0     | 1    | 40
Matemática - Fundatec                         | 5     | 1     | 0     | 1    | 40
Curso Fundatec                                | 25    | 1     | 1     | 0    | 120
Prefeitura de Novo Hamburgo                   | 31    | 5     | 4     | 0    | 190
Prefeitura de Santo Ângelo                    | 18    | 8     | 7     | 1    | 190
Brigada Militar - RS - Temporário             | 14    | 18    | 14    | 2    | 220
