FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,duration,resultfile,Ffufhash
admin,https://186.226.60.53/,,2,200,44,4,2,text/html,562.529716ms,,654522
ajuda,https://186.226.60.53/,,3,200,44,4,2,text/html,547.727601ms,,654523
api,https://186.226.60.53/,,5,200,44,4,2,text/html,597.168324ms,,654525
alpha,https://186.226.60.53/,,4,200,44,4,2,text/html,610.827906ms,,654524
app,https://186.226.60.53/,,8,200,44,4,2,text/html,571.195905ms,,654528
api1,https://186.226.60.53/,,6,200,44,4,2,text/html,660.772408ms,,654526
api2,https://186.226.60.53/,,7,200,44,4,2,text/html,797.454333ms,,654527
assets,https://186.226.60.53/,,9,200,44,4,2,text/html,658.105884ms,,654529
atendimento,https://186.226.60.53/,,10,200,44,4,2,text/html,581.684269ms,,65452a
auth,https://186.226.60.53/,,11,200,44,4,2,text/html,598.682928ms,,65452b
autodiscover,https://186.226.60.53/,,13,200,44,4,2,text/html,602.620529ms,,65452d
backup,https://186.226.60.53/,,14,200,44,4,2,text/html,513.018098ms,,65452e
autoconfig,https://186.226.60.53/,,12,200,44,4,2,text/html,602.904802ms,,65452c
bak,https://186.226.60.53/,,15,200,44,4,2,text/html,513.129931ms,,65452f
beta,https://186.226.60.53/,,16,200,44,4,2,text/html,669.169171ms,,6545210
blog,https://186.226.60.53/,,17,200,44,4,2,text/html,624.892641ms,,6545211
cdn,https://186.226.60.53/,,18,200,44,4,2,text/html,624.466343ms,,6545212
cloud,https://186.226.60.53/,,19,200,44,4,2,text/html,613.651088ms,,6545213
cognito,https://186.226.60.53/,,20,200,44,4,2,text/html,555.609333ms,,6545214
comercial,https://186.226.60.53/,,21,200,44,4,2,text/html,748.41181ms,,6545215
cpanel,https://186.226.60.53/,,22,200,44,4,2,text/html,748.530985ms,,6545216
cpanel2,https://186.226.60.53/,,23,200,44,4,2,text/html,754.803254ms,,6545217
cpcalendars,https://186.226.60.53/,,24,200,44,4,2,text/html,566.80632ms,,6545218
cpcontacts,https://186.226.60.53/,,25,200,44,4,2,text/html,511.916004ms,,6545219
cron,https://186.226.60.53/,,26,200,44,4,2,text/html,662.490168ms,,654521a
dashboard,https://186.226.60.53/,,27,200,44,4,2,text/html,626.902013ms,,654521b
db,https://186.226.60.53/,,28,200,44,4,2,text/html,626.894245ms,,654521c
desapego,https://186.226.60.53/,,30,200,44,4,2,text/html,540.823352ms,,654521e
demo,https://186.226.60.53/,,29,200,44,4,2,text/html,540.855571ms,,654521d
desapegoadmin,https://186.226.60.53/,,31,200,44,4,2,text/html,627.721039ms,,654521f
desapegogames,https://186.226.60.53/,,33,200,44,4,2,text/html,634.876878ms,,6545221
