FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,duration,resultfile,Ffufhash
api2,https://186.226.60.54/,https://desapegogames.com.br/,7,301,277,15,8,text/html; charset=iso-8859-1,599.300307ms,,f10b97
_dc-mx.9d59657b6ef5,https://186.226.60.54/,https://desapegogames.com.br/,1,301,277,15,8,text/html; charset=iso-8859-1,510.044228ms,,f10b91
app,https://186.226.60.54/,https://desapegogames.com.br/,8,301,277,15,8,text/html; charset=iso-8859-1,549.060657ms,,f10b98
api,https://186.226.60.54/,https://desapegogames.com.br/,5,301,277,15,8,text/html; charset=iso-8859-1,594.665341ms,,f10b95
alpha,https://186.226.60.54/,https://desapegogames.com.br/,4,301,277,15,8,text/html; charset=iso-8859-1,554.711541ms,,f10b94
ajuda,https://186.226.60.54/,https://desapegogames.com.br/,3,301,277,15,8,text/html; charset=iso-8859-1,763.96369ms,,f10b93
api1,https://186.226.60.54/,https://desapegogames.com.br/,6,301,277,15,8,text/html; charset=iso-8859-1,599.888403ms,,f10b96
admin,https://186.226.60.54/,https://desapegogames.com.br/,2,301,277,15,8,text/html; charset=iso-8859-1,834.861805ms,,f10b92
assets,https://186.226.60.54/,https://desapegogames.com.br/,9,301,277,15,8,text/html; charset=iso-8859-1,569.609996ms,,f10b99
auth,https://186.226.60.54/,https://desapegogames.com.br/,11,301,277,15,8,text/html; charset=iso-8859-1,551.776311ms,,f10b9b
autodiscover,https://186.226.60.54/,https://desapegogames.com.br/,13,301,277,15,8,text/html; charset=iso-8859-1,520.338178ms,,f10b9d
autoconfig,https://186.226.60.54/,https://desapegogames.com.br/,12,301,277,15,8,text/html; charset=iso-8859-1,617.984071ms,,f10b9c
backup,https://186.226.60.54/,https://desapegogames.com.br/,14,301,277,15,8,text/html; charset=iso-8859-1,698.201158ms,,f10b9e
bak,https://186.226.60.54/,https://desapegogames.com.br/,15,301,277,15,8,text/html; charset=iso-8859-1,675.988586ms,,f10b9f
beta,https://186.226.60.54/,https://desapegogames.com.br/,16,301,277,15,8,text/html; charset=iso-8859-1,565.03769ms,,f10b910
cloud,https://186.226.60.54/,https://desapegogames.com.br/,19,301,277,15,8,text/html; charset=iso-8859-1,532.637833ms,,f10b913
cognito,https://186.226.60.54/,https://desapegogames.com.br/,20,301,277,15,8,text/html; charset=iso-8859-1,518.266058ms,,f10b914
cdn,https://186.226.60.54/,https://desapegogames.com.br/,18,301,277,15,8,text/html; charset=iso-8859-1,609.10369ms,,f10b912
blog,https://186.226.60.54/,https://desapegogames.com.br/,17,301,277,15,8,text/html; charset=iso-8859-1,609.337776ms,,f10b911
comercial,https://186.226.60.54/,https://desapegogames.com.br/,21,301,277,15,8,text/html; charset=iso-8859-1,607.565923ms,,f10b915
cpanel,https://186.226.60.54/,https://desapegogames.com.br/,22,301,277,15,8,text/html; charset=iso-8859-1,587.675087ms,,f10b916
cpanel2,https://186.226.60.54/,https://desapegogames.com.br/,23,301,277,15,8,text/html; charset=iso-8859-1,587.669406ms,,f10b917
cpcalendars,https://186.226.60.54/,https://desapegogames.com.br/,24,301,277,15,8,text/html; charset=iso-8859-1,607.655054ms,,f10b918
dashboard,https://186.226.60.54/,https://desapegogames.com.br/,27,301,277,15,8,text/html; charset=iso-8859-1,665.941468ms,,f10b91b
cron,https://186.226.60.54/,https://desapegogames.com.br/,26,301,277,15,8,text/html; charset=iso-8859-1,665.996576ms,,f10b91a
cpcontacts,https://186.226.60.54/,https://desapegogames.com.br/,25,301,277,15,8,text/html; charset=iso-8859-1,759.090501ms,,f10b919
db,https://186.226.60.54/,https://desapegogames.com.br/,28,301,277,15,8,text/html; charset=iso-8859-1,759.364938ms,,f10b91c
demo,https://186.226.60.54/,https://desapegogames.com.br/,29,301,277,15,8,text/html; charset=iso-8859-1,773.066635ms,,f10b91d
desapego,https://186.226.60.54/,https://desapegogames.com.br/,30,301,277,15,8,text/html; charset=iso-8859-1,807.115555ms,,f10b91e
desapegoadmin,https://186.226.60.54/,https://desapegogames.com.br/,31,301,277,15,8,text/html; charset=iso-8859-1,807.476387ms,,f10b91f
desapegoapi,https://186.226.60.54/,https://desapegogames.com.br/,32,301,277,15,8,text/html; charset=iso-8859-1,785.790385ms,,f10b920
desapegogames,https://186.226.60.54/,https://desapegogames.com.br/,33,301,277,15,8,text/html; charset=iso-8859-1,694.430981ms,,f10b921
dev,https://186.226.60.54/,https://desapegogames.com.br/,34,301,277,15,8,text/html; charset=iso-8859-1,694.51453ms,,f10b922
dev1,https://186.226.60.54/,https://desapegogames.com.br/,35,301,277,15,8,text/html; charset=iso-8859-1,801.297457ms,,f10b923
dev2,https://186.226.60.54/,https://desapegogames.com.br/,36,301,277,15,8,text/html; charset=iso-8859-1,801.281397ms,,f10b924
dg,https://186.226.60.54/,https://desapegogames.com.br/,37,301,277,15,8,text/html; charset=iso-8859-1,710.011428ms,,f10b925
dgames,https://186.226.60.54/,https://desapegogames.com.br/,38,301,277,15,8,text/html; charset=iso-8859-1,591.365825ms,,f10b926
docs,https://186.226.60.54/,https://desapegogames.com.br/,40,301,277,15,8,text/html; charset=iso-8859-1,596.88139ms,,f10b928
dns,https://186.226.60.54/,https://desapegogames.com.br/,39,301,277,15,8,text/html; charset=iso-8859-1,680.271996ms,,f10b927
exchange,https://186.226.60.54/,https://desapegogames.com.br/,42,301,277,15,8,text/html; charset=iso-8859-1,799.006337ms,,f10b92a
documentacao,https://186.226.60.54/,https://desapegogames.com.br/,41,301,277,15,8,text/html; charset=iso-8859-1,799.273282ms,,f10b929
financeiro,https://186.226.60.54/,https://desapegogames.com.br/,44,301,277,15,8,text/html; charset=iso-8859-1,712.889923ms,,f10b92c
files,https://186.226.60.54/,https://desapegogames.com.br/,43,301,277,15,8,text/html; charset=iso-8859-1,713.005978ms,,f10b92b
ftp2,https://186.226.60.54/,https://desapegogames.com.br/,46,301,277,15,8,text/html; charset=iso-8859-1,608.923036ms,,f10b92e
ftp,https://186.226.60.54/,https://desapegogames.com.br/,45,301,277,15,8,text/html; charset=iso-8859-1,688.892051ms,,f10b92d
git,https://186.226.60.54/,https://desapegogames.com.br/,48,301,277,15,8,text/html; charset=iso-8859-1,802.732216ms,,f10b930
games,https://186.226.60.54/,https://desapegogames.com.br/,47,301,277,15,8,text/html; charset=iso-8859-1,803.831476ms,,f10b92f
help,https://186.226.60.54/,https://desapegogames.com.br/,52,301,277,15,8,text/html; charset=iso-8859-1,485.537906ms,,f10b934
gql,https://186.226.60.54/,https://desapegogames.com.br/,50,301,277,15,8,text/html; charset=iso-8859-1,598.291438ms,,f10b932
graphql,https://186.226.60.54/,https://desapegogames.com.br/,51,301,277,15,8,text/html; charset=iso-8859-1,486.379258ms,,f10b933
gitlab,https://186.226.60.54/,https://desapegogames.com.br/,49,301,277,15,8,text/html; charset=iso-8859-1,659.649896ms,,f10b931
host,https://186.226.60.54/,https://desapegogames.com.br/,53,301,277,15,8,text/html; charset=iso-8859-1,678.638816ms,,f10b935
images,https://186.226.60.54/,https://desapegogames.com.br/,54,301,277,15,8,text/html; charset=iso-8859-1,786.068608ms,,f10b936
imap,https://186.226.60.54/,https://desapegogames.com.br/,55,301,277,15,8,text/html; charset=iso-8859-1,583.000399ms,,f10b937
img,https://186.226.60.54/,https://desapegogames.com.br/,56,301,277,15,8,text/html; charset=iso-8859-1,768.551622ms,,f10b938
login,https://186.226.60.54/,https://desapegogames.com.br/,60,301,277,15,8,text/html; charset=iso-8859-1,699.342795ms,,f10b93c
jenkins,https://186.226.60.54/,https://desapegogames.com.br/,58,301,277,15,8,text/html; charset=iso-8859-1,758.869537ms,,f10b93a
keycloak,https://186.226.60.54/,https://desapegogames.com.br/,59,301,277,15,8,text/html; charset=iso-8859-1,758.768818ms,,f10b93b
iredmail,https://186.226.60.54/,https://desapegogames.com.br/,57,301,277,15,8,text/html; charset=iso-8859-1,759.443859ms,,f10b939
logon,https://186.226.60.54/,https://desapegogames.com.br/,61,301,277,15,8,text/html; charset=iso-8859-1,715.427038ms,,f10b93d
m,https://186.226.60.54/,https://desapegogames.com.br/,63,301,277,15,8,text/html; charset=iso-8859-1,639.247315ms,,f10b93f
loja,https://186.226.60.54/,https://desapegogames.com.br/,62,301,277,15,8,text/html; charset=iso-8859-1,747.38006ms,,f10b93e
mail,https://186.226.60.54/,https://desapegogames.com.br/,64,301,277,15,8,text/html; charset=iso-8859-1,748.046027ms,,f10b940
marketplace,https://186.226.60.54/,https://desapegogames.com.br/,66,301,277,15,8,text/html; charset=iso-8859-1,678.215482ms,,f10b942
monitor,https://186.226.60.54/,https://desapegogames.com.br/,69,301,277,15,8,text/html; charset=iso-8859-1,523.068305ms,,f10b945
mobile,https://186.226.60.54/,https://desapegogames.com.br/,68,301,277,15,8,text/html; charset=iso-8859-1,678.220854ms,,f10b944
manage,https://186.226.60.54/,https://desapegogames.com.br/,65,301,277,15,8,text/html; charset=iso-8859-1,678.447097ms,,f10b941
media,https://186.226.60.54/,https://desapegogames.com.br/,67,301,277,15,8,text/html; charset=iso-8859-1,747.462999ms,,f10b943
mx,https://186.226.60.54/,https://desapegogames.com.br/,70,301,277,15,8,text/html; charset=iso-8859-1,674.054033ms,,f10b946
mx2,https://186.226.60.54/,https://desapegogames.com.br/,71,301,277,15,8,text/html; charset=iso-8859-1,765.621993ms,,f10b947
mysql,https://186.226.60.54/,https://desapegogames.com.br/,72,301,277,15,8,text/html; charset=iso-8859-1,635.754236ms,,f10b948
nagios,https://186.226.60.54/,https://desapegogames.com.br/,73,301,277,15,8,text/html; charset=iso-8859-1,519.071597ms,,f10b949
new,https://186.226.60.54/,https://desapegogames.com.br/,74,301,277,15,8,text/html; charset=iso-8859-1,660.475428ms,,f10b94a
ns2,https://186.226.60.54/,https://desapegogames.com.br/,76,301,277,15,8,text/html; charset=iso-8859-1,660.678333ms,,f10b94c
ns1,https://186.226.60.54/,https://desapegogames.com.br/,75,301,277,15,8,text/html; charset=iso-8859-1,661.206073ms,,f10b94b
ns3,https://186.226.60.54/,https://desapegogames.com.br/,77,301,277,15,8,text/html; charset=iso-8859-1,791.41429ms,,f10b94d
oauth,https://186.226.60.54/,https://desapegogames.com.br/,78,301,277,15,8,text/html; charset=iso-8859-1,740.035565ms,,f10b94e
old,https://186.226.60.54/,https://desapegogames.com.br/,79,301,277,15,8,text/html; charset=iso-8859-1,600.350668ms,,f10b94f
owa,https://186.226.60.54/,https://desapegogames.com.br/,80,301,277,15,8,text/html; charset=iso-8859-1,543.136035ms,,f10b950
phpmyadmin,https://186.226.60.54/,https://desapegogames.com.br/,83,301,277,15,8,text/html; charset=iso-8859-1,600.694003ms,,f10b953
panel,https://186.226.60.54/,https://desapegogames.com.br/,82,301,277,15,8,text/html; charset=iso-8859-1,601.489371ms,,f10b952
painel,https://186.226.60.54/,https://desapegogames.com.br/,81,301,277,15,8,text/html; charset=iso-8859-1,743.446488ms,,f10b951
pma,https://186.226.60.54/,https://desapegogames.com.br/,84,301,277,15,8,text/html; charset=iso-8859-1,803.466292ms,,f10b954
pop3,https://186.226.60.54/,https://desapegogames.com.br/,86,301,277,15,8,text/html; charset=iso-8859-1,598.994773ms,,f10b956
pop,https://186.226.60.54/,https://desapegogames.com.br/,85,301,277,15,8,text/html; charset=iso-8859-1,800.365174ms,,f10b955
postgres,https://186.226.60.54/,https://desapegogames.com.br/,88,301,277,15,8,text/html; charset=iso-8859-1,799.546225ms,,f10b958
portal,https://186.226.60.54/,https://desapegogames.com.br/,87,301,277,15,8,text/html; charset=iso-8859-1,799.970658ms,,f10b957
preview,https://186.226.60.54/,https://desapegogames.com.br/,89,301,277,15,8,text/html; charset=iso-8859-1,599.698042ms,,f10b959
production,https://186.226.60.54/,https://desapegogames.com.br/,91,301,277,15,8,text/html; charset=iso-8859-1,799.295826ms,,f10b95b
prod,https://186.226.60.54/,https://desapegogames.com.br/,90,301,277,15,8,text/html; charset=iso-8859-1,799.788905ms,,f10b95a
qa,https://186.226.60.54/,https://desapegogames.com.br/,92,301,277,15,8,text/html; charset=iso-8859-1,797.250623ms,,f10b95c
relay,https://186.226.60.54/,https://desapegogames.com.br/,93,301,277,15,8,text/html; charset=iso-8859-1,659.012205ms,,f10b95d
review,https://186.226.60.54/,https://desapegogames.com.br/,95,301,277,15,8,text/html; charset=iso-8859-1,475.749979ms,,f10b95f
