Registry stub obtained: RegistryImpl_Stub[UnicastRef [liveRef: [endpoint:[160.202.130.243:8084](remote),objID:[0:0:0, 0]]]]
ERR listing: java.rmi.NoSuchObjectException: no such object in table
  LOOKUP jmxrmi ERR: no such object in table
  LOOKUP jmx ERR: no such object in table
  LOOKUP JMXRMI ERR: no such object in table
  LOOKUP wowza ERR: no such object in table
  LOOKUP management ERR: no such object in table
  LOOKUP connector ERR: no such object in table
  LOOKUP platform ERR: no such object in table
  LOOKUP rmiServer ERR: no such object in table
  LOOKUP server ERR: no such object in table
