[/rest/workflows] HTTP 401; Size: 43; Type: application/json; charset=utf-8
[/rest/credentials] HTTP 401; Size: 43; Type: application/json; charset=utf-8
[/rest/executions] HTTP 401; Size: 43; Type: application/json; charset=utf-8
[/rest/users] HTTP 401; Size: 43; Type: application/json; charset=utf-8
[/rest/me] HTTP 404; Size: 146; Type: text/html; charset=utf-8
[/rest/owner] HTTP 404; Size: 149; Type: text/html; charset=utf-8
[/rest/setup] HTTP 404; Size: 149; Type: text/html; charset=utf-8
[/rest/login] HTTP 401; Size: 43; Type: application/json; charset=utf-8
[/rest/nodes] HTTP 404; Size: 149; Type: text/html; charset=utf-8
[/rest/credential-types] HTTP 404; Size: 160; Type: text/html; charset=utf-8
[/rest/webhook] HTTP 404; Size: 151; Type: text/html; charset=utf-8
[/rest/webhook-test] HTTP 404; Size: 156; Type: text/html; charset=utf-8
