=== Next.js endpoints ===
[_next/static/chunks/pages/] HTTP 308; Content-Length: 26; Redirect: https://noticias.focusconcursos.com.br/_next/static/chunks/pages
[_next/data/] HTTP 308; Content-Length: 11; Redirect: https://noticias.focusconcursos.com.br/_next/data
[api/] HTTP 308; Content-Length: 4; Redirect: https://noticias.focusconcursos.com.br/api
[api/graphql] HTTP 404; Content-Length: 24834; Redirect: 
[swagger] HTTP 404; Content-Length: 29503; Redirect: 
[openapi.json] HTTP 404; Content-Length: 29641; Redirect: 
[robots.txt] HTTP 200; Content-Length: 1094; Redirect: 
[sitemap.xml] HTTP 200; Content-Length: 1219856; Redirect: 
[.well-known/] HTTP 308; Content-Length: 12; Redirect: https://noticias.focusconcursos.com.br/.well-known
[.well-known/security.txt] HTTP 404; Content-Length: 24834; Redirect: 
[graphql] HTTP 404; Content-Length: 29626; Redirect: 
[api-docs] HTTP 404; Content-Length: 29629; Redirect: 
[v1] HTTP 404; Content-Length: 29574; Redirect: 
[v2] HTTP 404; Content-Length: 29574; Redirect: 
[api/v1] HTTP 404; Content-Length: 24834; Redirect: 
[api/v2] HTTP 404; Content-Length: 24834; Redirect: 
