FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,duration,resultfile,Ffufhash
.cvsignore,https://hq.iptvguard.app/.cvsignore,,6,200,959,112,22,text/html; charset=utf-8,267.100839ms,,a82196
.cvs,https://hq.iptvguard.app/.cvs,,5,200,959,112,22,text/html; charset=utf-8,261.06791ms,,a82195
.bash_history,https://hq.iptvguard.app/.bash_history,,1,200,959,112,22,text/html; charset=utf-8,267.493683ms,,a82191
.config,https://hq.iptvguard.app/.config,,4,200,959,112,22,text/html; charset=utf-8,325.288373ms,,a82194
.cache,https://hq.iptvguard.app/.cache,,3,200,959,112,22,text/html; charset=utf-8,325.203893ms,,a82193
.env,https://hq.iptvguard.app/.env,,7,200,959,112,22,text/html; charset=utf-8,325.86987ms,,a82197
.forward,https://hq.iptvguard.app/.forward,,8,200,959,112,22,text/html; charset=utf-8,325.390934ms,,a82198
.bashrc,https://hq.iptvguard.app/.bashrc,,2,200,959,112,22,text/html; charset=utf-8,337.637956ms,,a82192
.git/config,https://hq.iptvguard.app/.git/config,,12,403,33811,949,3,text/html; charset=utf-8,3.036534ms,,a8219c
.git/HEAD,https://hq.iptvguard.app/.git/HEAD,,11,403,33807,949,3,text/html; charset=utf-8,3.430889ms,,a8219b
.git/logs/,https://hq.iptvguard.app/.git/logs/,,14,403,33800,949,3,text/html; charset=utf-8,3.275076ms,,a8219e
.git_release,https://hq.iptvguard.app/.git_release,,15,403,33807,949,3,text/html; charset=utf-8,3.387752ms,,a8219f
.git,https://hq.iptvguard.app/.git,,9,403,33808,949,3,text/html; charset=utf-8,3.453914ms,,a82199
.git-rewrite,https://hq.iptvguard.app/.git-rewrite,,10,403,33806,949,3,text/html; charset=utf-8,3.598761ms,,a8219a
.git/index,https://hq.iptvguard.app/.git/index,,13,403,33806,949,3,text/html; charset=utf-8,3.635257ms,,a8219d
.gitattributes,https://hq.iptvguard.app/.gitattributes,,16,403,33806,949,3,text/html; charset=utf-8,2.998559ms,,a821910
.gitconfig,https://hq.iptvguard.app/.gitconfig,,17,403,33806,949,3,text/html; charset=utf-8,2.897778ms,,a821911
.gitignore,https://hq.iptvguard.app/.gitignore,,18,403,33806,949,3,text/html; charset=utf-8,2.955082ms,,a821912
.gitmodules,https://hq.iptvguard.app/.gitmodules,,21,403,33807,949,3,text/html; charset=utf-8,3.103421ms,,a821915
.gitreview,https://hq.iptvguard.app/.gitreview,,22,403,33800,949,3,text/html; charset=utf-8,4.126714ms,,a821916
.gitkeep,https://hq.iptvguard.app/.gitkeep,,20,403,33807,949,3,text/html; charset=utf-8,3.035103ms,,a821914
.history,https://hq.iptvguard.app/.history,,23,403,33811,949,3,text/html; charset=utf-8,4.1494ms,,a821917
.gitk,https://hq.iptvguard.app/.gitk,,19,403,33808,949,3,text/html; charset=utf-8,3.796276ms,,a821913
.hta,https://hq.iptvguard.app/.hta,,24,403,33808,949,3,text/html; charset=utf-8,3.082692ms,,a821918
.htaccess,https://hq.iptvguard.app/.htaccess,,25,403,33808,949,3,text/html; charset=utf-8,3.110998ms,,a821919
.htpasswd,https://hq.iptvguard.app/.htpasswd,,26,403,33807,949,3,text/html; charset=utf-8,3.520748ms,,a82191a
.listings,https://hq.iptvguard.app/.listings,,28,403,33811,949,3,text/html; charset=utf-8,3.558914ms,,a82191c
.perf,https://hq.iptvguard.app/.perf,,31,403,33806,949,3,text/html; charset=utf-8,3.184081ms,,a82191f
.mysql_history,https://hq.iptvguard.app/.mysql_history,,29,403,33807,949,3,text/html; charset=utf-8,4.065478ms,,a82191d
.listing,https://hq.iptvguard.app/.listing,,27,403,33800,949,3,text/html; charset=utf-8,4.528797ms,,a82191b
.passwd,https://hq.iptvguard.app/.passwd,,30,403,33808,949,3,text/html; charset=utf-8,3.181392ms,,a82191e
.profile,https://hq.iptvguard.app/.profile,,32,403,33808,949,3,text/html; charset=utf-8,4.636934ms,,a821920
.rhosts,https://hq.iptvguard.app/.rhosts,,33,403,33808,949,3,text/html; charset=utf-8,4.376581ms,,a821921
.subversion,https://hq.iptvguard.app/.subversion,,36,403,33806,949,3,text/html; charset=utf-8,6.276375ms,,a821924
.svn,https://hq.iptvguard.app/.svn,,37,403,33808,949,3,text/html; charset=utf-8,3.407874ms,,a821925
.svn/entries,https://hq.iptvguard.app/.svn/entries,,38,403,33811,949,3,text/html; charset=utf-8,3.496195ms,,a821926
.sh_history,https://hq.iptvguard.app/.sh_history,,34,403,33807,949,3,text/html; charset=utf-8,6.266513ms,,a821922
.ssh,https://hq.iptvguard.app/.ssh,,35,403,33800,949,3,text/html; charset=utf-8,6.569461ms,,a821923
.svnignore,https://hq.iptvguard.app/.svnignore,,39,403,33807,949,3,text/html; charset=utf-8,3.026846ms,,a821927
.swf,https://hq.iptvguard.app/.swf,,40,403,33807,949,3,text/html; charset=utf-8,2.919764ms,,a821928
.web,https://hq.iptvguard.app/.web,,41,403,33807,949,3,text/html; charset=utf-8,3.004136ms,,a821929
.well-known/acme-challenge,https://hq.iptvguard.app/.well-known/acme-challenge,,42,403,33807,949,3,text/html; charset=utf-8,2.907329ms,,a82192a
