FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,duration,resultfile,Ffufhash
.git,https://iptvguard.app/.git,,9,403,33800,949,3,text/html; charset=utf-8,2.99307ms,,450669
.git-rewrite,https://iptvguard.app/.git-rewrite,,10,403,33800,949,3,text/html; charset=utf-8,3.03256ms,,45066a
.git/HEAD,https://iptvguard.app/.git/HEAD,,11,403,33800,949,3,text/html; charset=utf-8,3.601724ms,,45066b
.git/config,https://iptvguard.app/.git/config,,12,403,33800,949,3,text/html; charset=utf-8,3.055557ms,,45066c
.git/index,https://iptvguard.app/.git/index,,13,403,33807,949,3,text/html; charset=utf-8,2.779668ms,,45066d
.git/logs/,https://iptvguard.app/.git/logs/,,14,403,33807,949,3,text/html; charset=utf-8,2.863871ms,,45066e
.git_release,https://iptvguard.app/.git_release,,15,403,33807,949,3,text/html; charset=utf-8,4.470685ms,,45066f
.gitattributes,https://iptvguard.app/.gitattributes,,16,403,33807,949,3,text/html; charset=utf-8,2.909066ms,,4506610
.gitconfig,https://iptvguard.app/.gitconfig,,17,403,33807,949,3,text/html; charset=utf-8,3.038768ms,,4506611
.gitignore,https://iptvguard.app/.gitignore,,18,403,33807,949,3,text/html; charset=utf-8,2.841694ms,,4506612
.gitk,https://iptvguard.app/.gitk,,19,403,33807,949,3,text/html; charset=utf-8,2.829886ms,,4506613
.gitkeep,https://iptvguard.app/.gitkeep,,20,403,33807,949,3,text/html; charset=utf-8,2.831248ms,,4506614
.gitmodules,https://iptvguard.app/.gitmodules,,21,403,33800,949,3,text/html; charset=utf-8,3.117881ms,,4506615
.history,https://iptvguard.app/.history,,23,403,33807,949,3,text/html; charset=utf-8,2.937344ms,,4506617
.gitreview,https://iptvguard.app/.gitreview,,22,403,33800,949,3,text/html; charset=utf-8,15.182739ms,,4506616
.hta,https://iptvguard.app/.hta,,24,403,33807,949,3,text/html; charset=utf-8,2.881611ms,,4506618
.htaccess,https://iptvguard.app/.htaccess,,25,403,33807,949,3,text/html; charset=utf-8,2.893463ms,,4506619
.htpasswd,https://iptvguard.app/.htpasswd,,26,403,33807,949,3,text/html; charset=utf-8,3.091332ms,,450661a
.listing,https://iptvguard.app/.listing,,27,403,33807,949,3,text/html; charset=utf-8,2.915889ms,,450661b
.listings,https://iptvguard.app/.listings,,28,403,33807,949,3,text/html; charset=utf-8,2.951125ms,,450661c
.mysql_history,https://iptvguard.app/.mysql_history,,29,403,33800,949,3,text/html; charset=utf-8,3.200071ms,,450661d
.passwd,https://iptvguard.app/.passwd,,30,403,33800,949,3,text/html; charset=utf-8,3.034862ms,,450661e
.perf,https://iptvguard.app/.perf,,31,403,33800,949,3,text/html; charset=utf-8,2.973188ms,,450661f
.profile,https://iptvguard.app/.profile,,32,403,33807,949,3,text/html; charset=utf-8,2.834983ms,,4506620
.rhosts,https://iptvguard.app/.rhosts,,33,403,33807,949,3,text/html; charset=utf-8,2.927619ms,,4506621
.sh_history,https://iptvguard.app/.sh_history,,34,403,33807,949,3,text/html; charset=utf-8,2.853169ms,,4506622
.ssh,https://iptvguard.app/.ssh,,35,403,33807,949,3,text/html; charset=utf-8,2.99578ms,,4506623
.subversion,https://iptvguard.app/.subversion,,36,403,33807,949,3,text/html; charset=utf-8,3.338354ms,,4506624
.svn,https://iptvguard.app/.svn,,37,403,33800,949,3,text/html; charset=utf-8,5.000254ms,,4506625
.svn/entries,https://iptvguard.app/.svn/entries,,38,403,33800,949,3,text/html; charset=utf-8,2.948182ms,,4506626
.svnignore,https://iptvguard.app/.svnignore,,39,403,33800,949,3,text/html; charset=utf-8,2.914032ms,,4506627
.swf,https://iptvguard.app/.swf,,40,403,33807,949,3,text/html; charset=utf-8,2.805137ms,,4506628
.web,https://iptvguard.app/.web,,41,403,33807,949,3,text/html; charset=utf-8,2.859277ms,,4506629
