Starting masscan 1.3.2 (http://bit.ly/14GZzcT) at 2026-08-22 19:01:47 GMT
Initiating SYN Stealth Scan
Scanning 4 hosts [65535 ports/host]
rate:  0.00-kpps,  0.00% done,145836161:29:41 remaining, found=0       
rate:  1.00-kpps,  0.33% done,   0:30:38 remaining, found=0       
rate:  0.99-kpps,  0.62% done,   0:16:10 remaining, found=0       
rate:  0.99-kpps,  0.90% done,   0:10:58 remaining, found=1       
rate:  1.00-kpps,  1.19% done,   0:08:16 remaining, found=1       
rate:  1.00-kpps,  1.48% done,   0:06:40 remaining, found=1       
rate:  1.00-kpps,  1.78% done,   0:05:30 remaining, found=1       
rate:  1.00-kpps,  2.04% done,   0:04:47 remaining, found=1       
rate:  0.99-kpps,  2.36% done,   0:04:08 remaining, found=1       
rate:  1.00-kpps,  2.63% done,   0:04:14 remaining, found=1       
rate:  1.00-kpps,  2.94% done,   0:04:10 remaining, found=2       
rate:  1.00-kpps,  3.22% done,   0:04:10 remaining, found=2       
rate:  0.99-kpps,  3.53% done,   0:04:07 remaining, found=2       
rate:  1.00-kpps,  3.82% done,   0:04:06 remaining, found=2       
rate:  0.99-kpps,  4.11% done,   0:04:07 remaining, found=2       
rate:  0.99-kpps,  4.40% done,   0:04:03 remaining, found=2       
rate:  1.00-kpps,  4.67% done,   0:04:06 remaining, found=2       
rate:  0.99-kpps,  4.97% done,   0:04:02 remaining, found=2       
rate:  0.99-kpps,  5.24% done,   0:04:07 remaining, found=2       
rate:  0.99-kpps,  5.56% done,   0:04:02 remaining, found=2       
rate:  0.99-kpps,  5.83% done,   0:04:06 remaining, found=2       
rate:  0.99-kpps,  6.14% done,   0:04:02 remaining, found=2       
rate:  1.00-kpps,  6.41% done,   0:04:03 remaining, found=2       
rate:  0.99-kpps,  6.72% done,   0:04:00 remaining, found=2       
rate:  0.99-kpps,  6.99% done,   0:04:01 remaining, found=2       
rate:  0.99-kpps,  7.31% done,   0:03:58 remaining, found=2       
rate:  0.99-kpps,  7.58% done,   0:03:58 remaining, found=2       
rate:  0.99-kpps,  7.89% done,   0:03:57 remaining, found=2       
rate:  0.99-kpps,  8.17% done,   0:03:55 remaining, found=2       
rate:  0.99-kpps,  8.46% done,   0:03:56 remaining, found=2       
rate:  0.99-kpps,  8.75% done,   0:03:54 remaining, found=2       
rate:  0.99-kpps,  9.05% done,   0:03:54 remaining, found=2       
rate:  0.99-kpps,  9.34% done,   0:03:51 remaining, found=2       
rate:  1.00-kpps,  9.63% done,   0:03:53 remaining, found=2       
rate:  0.99-kpps,  9.92% done,   0:03:50 remaining, found=2       
rate:  0.99-kpps, 10.21% done,   0:03:52 remaining, found=2       
rate:  0.99-kpps, 10.51% done,   0:03:49 remaining, found=2       
rate:  0.99-kpps, 10.79% done,   0:03:50 remaining, found=2       
rate:  0.99-kpps, 11.08% done,   0:03:49 remaining, found=2       
rate:  0.99-kpps, 11.38% done,   0:03:48 remaining, found=2       
rate:  0.99-kpps, 11.66% done,   0:03:48 remaining, found=4       
rate:  0.99-kpps, 11.96% done,   0:03:46 remaining, found=4       
rate:  0.99-kpps, 12.24% done,   0:03:46 remaining, found=4       
rate:  0.99-kpps, 12.52% done,   0:03:46 remaining, found=4       
rate:  0.98-kpps, 12.81% done,   0:03:47 remaining, found=4       
rate:  0.98-kpps, 13.10% done,   0:03:46 remaining, found=4       
rate:  0.99-kpps, 13.39% done,   0:03:44 remaining, found=4       
rate:  0.99-kpps, 13.68% done,   0:03:45 remaining, found=4       
rate:  0.98-kpps, 13.98% done,   0:03:43 remaining, found=4       
rate:  0.98-kpps, 14.30% done,   0:03:42 remaining, found=4       
rate:  0.99-kpps, 14.58% done,   0:03:43 remaining, found=4       
rate:  0.99-kpps, 14.88% done,   0:03:40 remaining, found=4       
rate:  0.99-kpps, 15.18% done,   0:03:38 remaining, found=4       
rate:  0.98-kpps, 15.46% done,   0:03:38 remaining, found=4       
rate:  0.99-kpps, 15.75% done,   0:03:37 remaining, found=4       
rate:  0.98-kpps, 16.03% done,   0:03:38 remaining, found=4       
rate:  0.99-kpps, 16.33% done,   0:03:37 remaining, found=4       
rate:  0.99-kpps, 16.62% done,   0:03:36 remaining, found=4       
rate:  0.99-kpps, 16.91% done,   0:03:34 remaining, found=4       
rate:  0.99-kpps, 17.19% done,   0:03:34 remaining, found=4       
rate:  0.99-kpps, 17.47% done,   0:03:36 remaining, found=4       
rate:  0.99-kpps, 17.78% done,   0:03:32 remaining, found=4       
rate:  0.99-kpps, 18.06% done,   0:03:32 remaining, found=4       
rate:  0.99-kpps, 18.35% done,   0:03:30 remaining, found=4       
rate:  0.99-kpps, 18.64% done,   0:03:30 remaining, found=4       
rate:  0.99-kpps, 18.93% done,   0:03:30 remaining, found=4       
rate:  0.99-kpps, 19.22% done,   0:03:29 remaining, found=4       
rate:  0.99-kpps, 19.50% done,   0:03:29 remaining, found=4       
rate:  0.99-kpps, 19.79% done,   0:03:27 remaining, found=4       
rate:  0.99-kpps, 20.08% done,   0:03:28 remaining, found=4       
rate:  0.99-kpps, 20.36% done,   0:03:28 remaining, found=4       
rate:  0.99-kpps, 20.65% done,   0:03:27 remaining, found=4       
rate:  0.99-kpps, 20.94% done,   0:03:26 remaining, found=4       
rate:  0.99-kpps, 21.23% done,   0:03:25 remaining, found=4       
rate:  0.99-kpps, 21.52% done,   0:03:24 remaining, found=4       
rate:  0.99-kpps, 21.82% done,   0:03:22 remaining, found=4       
rate:  0.99-kpps, 22.11% done,   0:03:21 remaining, found=4       
rate:  0.99-kpps, 22.40% done,   0:03:19 remaining, found=4       
rate:  0.99-kpps, 22.70% done,   0:03:18 remaining, found=4       
rate:  0.99-kpps, 22.98% done,   0:03:18 remaining, found=4       
rate:  0.99-kpps, 23.28% done,   0:03:17 remaining, found=4       
rate:  0.99-kpps, 23.56% done,   0:03:16 remaining, found=4       
rate:  0.99-kpps, 23.85% done,   0:03:16 remaining, found=4       
rate:  0.99-kpps, 24.14% done,   0:03:15 remaining, found=4       
rate:  0.99-kpps, 24.43% done,   0:03:15 remaining, found=4       
rate:  0.99-kpps, 24.72% done,   0:03:14 remaining, found=4       
rate:  0.99-kpps, 25.01% done,   0:03:14 remaining, found=4       
rate:  0.99-kpps, 25.30% done,   0:03:13 remaining, found=4       
rate:  0.99-kpps, 25.59% done,   0:03:13 remaining, found=4       
rate:  0.99-kpps, 25.88% done,   0:03:11 remaining, found=4       
rate:  0.99-kpps, 26.17% done,   0:03:11 remaining, found=4       
rate:  0.99-kpps, 26.46% done,   0:03:11 remaining, found=4       
rate:  0.99-kpps, 26.75% done,   0:03:09 remaining, found=4       
rate:  0.99-kpps, 27.03% done,   0:03:09 remaining, found=4       
rate:  0.99-kpps, 27.31% done,   0:03:09 remaining, found=4       
rate:  0.99-kpps, 27.60% done,   0:03:09 remaining, found=4       
rate:  0.99-kpps, 27.89% done,   0:03:07 remaining, found=4       
rate:  0.99-kpps, 28.18% done,   0:03:07 remaining, found=4       
rate:  0.99-kpps, 28.47% done,   0:03:06 remaining, found=4       
rate:  0.99-kpps, 28.78% done,   0:03:04 remaining, found=4       
rate:  0.99-kpps, 29.07% done,   0:03:03 remaining, found=4       
rate:  0.99-kpps, 29.36% done,   0:03:02 remaining, found=4       
rate:  0.99-kpps, 29.65% done,   0:03:00 remaining, found=4       
rate:  0.99-kpps, 29.93% done,   0:03:00 remaining, found=4       
rate:  0.99-kpps, 30.21% done,   0:03:00 remaining, found=4       
rate:  0.99-kpps, 30.52% done,   0:02:57 remaining, found=4       
rate:  0.99-kpps, 30.81% done,   0:02:57 remaining, found=4       
rate:  0.99-kpps, 31.09% done,   0:02:58 remaining, found=4       
rate:  0.99-kpps, 31.38% done,   0:02:58 remaining, found=4       
rate:  0.99-kpps, 31.67% done,   0:02:57 remaining, found=4       
rate:  0.99-kpps, 31.97% done,   0:02:56 remaining, found=4       
rate:  0.99-kpps, 32.26% done,   0:02:54 remaining, found=4       
rate:  0.99-kpps, 32.53% done,   0:02:54 remaining, found=4       
rate:  0.99-kpps, 32.84% done,   0:02:53 remaining, found=4       
rate:  0.99-kpps, 33.12% done,   0:02:53 remaining, found=4       
rate:  0.99-kpps, 33.42% done,   0:02:51 remaining, found=4       
rate:  0.99-kpps, 33.71% done,   0:02:50 remaining, found=4       
rate:  0.99-kpps, 33.99% done,   0:02:51 remaining, found=4       
rate:  0.99-kpps, 34.30% done,   0:02:49 remaining, found=4       
rate:  0.99-kpps, 34.56% done,   0:02:50 remaining, found=4       
rate:  0.99-kpps, 34.88% done,   0:02:46 remaining, found=4       
rate:  0.99-kpps, 35.14% done,   0:02:49 remaining, found=4       
rate:  0.99-kpps, 35.46% done,   0:02:45 remaining, found=4       
rate:  1.00-kpps, 35.73% done,   0:02:47 remaining, found=4       
rate:  1.00-kpps, 36.05% done,   0:02:44 remaining, found=4       
rate:  0.99-kpps, 36.33% done,   0:02:43 remaining, found=4       
rate:  1.00-kpps, 36.62% done,   0:02:43 remaining, found=4       
rate:  1.00-kpps, 36.91% done,   0:02:41 remaining, found=4       
rate:  1.00-kpps, 37.19% done,   0:02:42 remaining, found=4       
rate:  1.00-kpps, 37.50% done,   0:02:39 remaining, found=4       
rate:  0.99-kpps, 37.77% done,   0:02:41 remaining, found=4       
rate:  0.99-kpps, 38.09% done,   0:02:37 remaining, found=4       
rate:  1.00-kpps, 38.37% done,   0:02:39 remaining, found=4       
