Starting Nmap 7.94SVN ( https://nmap.org ) at 2026-08-20 05:47 UTC
Nmap scan report for br.yavin4846.com.br (177.154.191.198)
Host is up (0.0040s latency).
Not shown: 65298 filtered tcp ports (no-response), 227 closed tcp ports (reset)
Some closed ports may be reported as filtered due to --defeat-rst-ratelimit
PORT     STATE SERVICE
21/tcp   open  ftp
53/tcp   open  domain
80/tcp   open  http
110/tcp  open  pop3
143/tcp  open  imap
443/tcp  open  https
587/tcp  open  submission
993/tcp  open  imaps
995/tcp  open  pop3s
8888/tcp open  sun-answerbook

Nmap done: 1 IP address (1 host up) scanned in 65.79 seconds
