FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,duration,resultfile,Ffufhash
4,https://querybuscas.com/api/admin/4,,8,401,47,2,1,application/json; charset=utf-8,866.795366ms,,3a9b88
3.0,https://querybuscas.com/api/admin/3.0,,7,401,47,2,1,application/json; charset=utf-8,959.527585ms,,3a9b87
4.0,https://querybuscas.com/api/admin/4.0,,9,401,47,2,1,application/json; charset=utf-8,922.842118ms,,3a9b89
5,https://querybuscas.com/api/admin/5,,10,401,47,2,1,application/json; charset=utf-8,968.186293ms,,3a9b8a
1.0,https://querybuscas.com/api/admin/1.0,,3,401,47,2,1,application/json; charset=utf-8,853.184414ms,,3a9b83
2,https://querybuscas.com/api/admin/2,,4,401,47,2,1,application/json; charset=utf-8,879.740408ms,,3a9b84
3,https://querybuscas.com/api/admin/3,,6,401,47,2,1,application/json; charset=utf-8,919.238084ms,,3a9b86
2.0,https://querybuscas.com/api/admin/2.0,,5,401,47,2,1,application/json; charset=utf-8,932.512004ms,,3a9b85
1,https://querybuscas.com/api/admin/1,,2,401,47,2,1,application/json; charset=utf-8,973.481692ms,,3a9b82
0,https://querybuscas.com/api/admin/0,,1,401,47,2,1,application/json; charset=utf-8,973.575271ms,,3a9b81
5.0,https://querybuscas.com/api/admin/5.0,,11,401,47,2,1,application/json; charset=utf-8,513.293597ms,,3a9b8b
6,https://querybuscas.com/api/admin/6,,12,401,47,2,1,application/json; charset=utf-8,557.319845ms,,3a9b8c
7,https://querybuscas.com/api/admin/7,,14,401,47,2,1,application/json; charset=utf-8,646.387574ms,,3a9b8e
9,https://querybuscas.com/api/admin/9,,18,401,47,2,1,application/json; charset=utf-8,549.953086ms,,3a9b812
9.0,https://querybuscas.com/api/admin/9.0,,19,401,47,2,1,application/json; charset=utf-8,520.545039ms,,3a9b813
6.0,https://querybuscas.com/api/admin/6.0,,13,401,47,2,1,application/json; charset=utf-8,829.481379ms,,3a9b8d
SSoAuthLoginResponse,https://querybuscas.com/api/admin/SSoAuthLoginResponse,,21,401,47,2,1,application/json; charset=utf-8,485.745923ms,,3a9b815
SPUser,https://querybuscas.com/api/admin/SPUser,,20,401,47,2,1,application/json; charset=utf-8,597.821979ms,,3a9b814
8,https://querybuscas.com/api/admin/8,,16,401,47,2,1,application/json; charset=utf-8,988.856936ms,,3a9b810
7.0,https://querybuscas.com/api/admin/7.0,,15,401,47,2,1,application/json; charset=utf-8,989.331916ms,,3a9b8f
8.0,https://querybuscas.com/api/admin/8.0,,17,401,47,2,1,application/json; charset=utf-8,1.005569713s,,3a9b811
Search,https://querybuscas.com/api/admin/Search,,22,401,47,2,1,application/json; charset=utf-8,556.061587ms,,3a9b816
SsoFederation,https://querybuscas.com/api/admin/SsoFederation,,24,401,47,2,1,application/json; charset=utf-8,595.824374ms,,3a9b818
SsoIdentityProvider,https://querybuscas.com/api/admin/SsoIdentityProvider,,25,401,47,2,1,application/json; charset=utf-8,688.583289ms,,3a9b819
StorageAuthToken,https://querybuscas.com/api/admin/StorageAuthToken,,26,401,47,2,1,application/json; charset=utf-8,571.183865ms,,3a9b81a
StorePoint,https://querybuscas.com/api/admin/StorePoint,,27,401,47,2,1,application/json; charset=utf-8,595.614805ms,,3a9b81b
about,https://querybuscas.com/api/admin/about,,28,401,47,2,1,application/json; charset=utf-8,599.695222ms,,3a9b81c
access,https://querybuscas.com/api/admin/access,,29,401,47,2,1,application/json; charset=utf-8,500.390565ms,,3a9b81d
Server,https://querybuscas.com/api/admin/Server,,23,401,47,2,1,application/json; charset=utf-8,910.752996ms,,3a9b817
account,https://querybuscas.com/api/admin/account,,30,401,47,2,1,application/json; charset=utf-8,561.036083ms,,3a9b81e
accounts,https://querybuscas.com/api/admin/accounts,,31,401,47,2,1,application/json; charset=utf-8,537.0321ms,,3a9b81f
activate,https://querybuscas.com/api/admin/activate,,32,401,47,2,1,application/json; charset=utf-8,690.778446ms,,3a9b820
add,https://querybuscas.com/api/admin/add,,33,401,47,2,1,application/json; charset=utf-8,669.299517ms,,3a9b821
address,https://querybuscas.com/api/admin/address,,34,401,47,2,1,application/json; charset=utf-8,542.043538ms,,3a9b822
admin,https://querybuscas.com/api/admin/admin,,35,401,47,2,1,application/json; charset=utf-8,545.594161ms,,3a9b823
administrador,https://querybuscas.com/api/admin/administrador,,36,401,47,2,1,application/json; charset=utf-8,560.405775ms,,3a9b824
administrators,https://querybuscas.com/api/admin/administrators,,37,401,47,2,1,application/json; charset=utf-8,538.945454ms,,3a9b825
advanced,https://querybuscas.com/api/admin/advanced,,39,401,47,2,1,application/json; charset=utf-8,495.327523ms,,3a9b827
admins,https://querybuscas.com/api/admin/admins,,38,401,47,2,1,application/json; charset=utf-8,573.980086ms,,3a9b826
advanced_search,https://querybuscas.com/api/admin/advanced_search,,40,401,47,2,1,application/json; charset=utf-8,544.524427ms,,3a9b828
alert,https://querybuscas.com/api/admin/alert,,41,401,47,2,1,application/json; charset=utf-8,685.583389ms,,3a9b829
api,https://querybuscas.com/api/admin/api,,43,401,47,2,1,application/json; charset=utf-8,488.914372ms,,3a9b82b
all,https://querybuscas.com/api/admin/all,,42,401,47,2,1,application/json; charset=utf-8,684.200747ms,,3a9b82a
api-doc,https://querybuscas.com/api/admin/api-doc,,44,401,47,2,1,application/json; charset=utf-8,530.062764ms,,3a9b82c
api-docs,https://querybuscas.com/api/admin/api-docs,,45,401,47,2,1,application/json; charset=utf-8,613.849482ms,,3a9b82d
api-docs/v1/openapi.json,https://querybuscas.com/api/admin/api-docs/v1/openapi.json,,46,401,47,2,1,application/json; charset=utf-8,574.622889ms,,3a9b82e
api/ads,https://querybuscas.com/api/admin/api/ads,,47,401,47,2,1,application/json; charset=utf-8,523.476859ms,,3a9b82f
api/announcements,https://querybuscas.com/api/admin/api/announcements,,48,401,47,2,1,application/json; charset=utf-8,565.019721ms,,3a9b830
api/api,https://querybuscas.com/api/admin/api/api,,49,401,47,2,1,application/json; charset=utf-8,545.364875ms,,3a9b831
api/api-docs,https://querybuscas.com/api/admin/api/api-docs,,50,401,47,2,1,application/json; charset=utf-8,685.464025ms,,3a9b832
api/apidocs/swagger.json,https://querybuscas.com/api/admin/api/apidocs/swagger.json,,52,401,47,2,1,application/json; charset=utf-8,567.082996ms,,3a9b834
api/application.wadl,https://querybuscas.com/api/admin/api/application.wadl,,53,401,47,2,1,application/json; charset=utf-8,527.327947ms,,3a9b835
