FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,duration,resultfile,Ffufhash
0,https://querybuscas.com/api/0,,1,404,1450,18,12,text/html; charset=utf-8,966.299741ms,,ecbfd1
1.0,https://querybuscas.com/api/1.0,,3,404,1452,18,12,text/html; charset=utf-8,952.669813ms,,ecbfd3
2,https://querybuscas.com/api/2,,4,404,1450,18,12,text/html; charset=utf-8,993.849395ms,,ecbfd4
1,https://querybuscas.com/api/1,,2,404,1450,18,12,text/html; charset=utf-8,1.058769125s,,ecbfd2
2.0,https://querybuscas.com/api/2.0,,5,404,1452,18,12,text/html; charset=utf-8,613.561179ms,,ecbfd5
3,https://querybuscas.com/api/3,,6,404,1450,18,12,text/html; charset=utf-8,613.636757ms,,ecbfd6
3.0,https://querybuscas.com/api/3.0,,7,404,1452,18,12,text/html; charset=utf-8,900.2943ms,,ecbfd7
4,https://querybuscas.com/api/4,,8,404,1450,18,12,text/html; charset=utf-8,686.689634ms,,ecbfd8
5,https://querybuscas.com/api/5,,10,404,1450,18,12,text/html; charset=utf-8,785.855528ms,,ecbfda
6,https://querybuscas.com/api/6,,12,404,1450,18,12,text/html; charset=utf-8,780.696043ms,,ecbfdc
5.0,https://querybuscas.com/api/5.0,,11,404,1452,18,12,text/html; charset=utf-8,780.632227ms,,ecbfdb
6.0,https://querybuscas.com/api/6.0,,13,404,1452,18,12,text/html; charset=utf-8,780.357773ms,,ecbfdd
7,https://querybuscas.com/api/7,,14,404,1450,18,12,text/html; charset=utf-8,780.597251ms,,ecbfde
8,https://querybuscas.com/api/8,,16,404,1450,18,12,text/html; charset=utf-8,623.889609ms,,ecbfd10
7.0,https://querybuscas.com/api/7.0,,15,404,1452,18,12,text/html; charset=utf-8,796.028078ms,,ecbfdf
9,https://querybuscas.com/api/9,,18,404,1450,18,12,text/html; charset=utf-8,565.467059ms,,ecbfd12
8.0,https://querybuscas.com/api/8.0,,17,404,1452,18,12,text/html; charset=utf-8,707.981085ms,,ecbfd11
9.0,https://querybuscas.com/api/9.0,,19,404,1452,18,12,text/html; charset=utf-8,749.210066ms,,ecbfd13
SPUser,https://querybuscas.com/api/SPUser,,20,404,1455,18,12,text/html; charset=utf-8,749.250076ms,,ecbfd14
SSoAuthLoginResponse,https://querybuscas.com/api/SSoAuthLoginResponse,,21,404,1469,18,12,text/html; charset=utf-8,712.356856ms,,ecbfd15
Search,https://querybuscas.com/api/Search,,22,404,1455,18,12,text/html; charset=utf-8,713.804694ms,,ecbfd16
Server,https://querybuscas.com/api/Server,,23,404,1455,18,12,text/html; charset=utf-8,705.358847ms,,ecbfd17
SsoFederation,https://querybuscas.com/api/SsoFederation,,24,404,1462,18,12,text/html; charset=utf-8,740.594326ms,,ecbfd18
StorageAuthToken,https://querybuscas.com/api/StorageAuthToken,,26,404,1465,18,12,text/html; charset=utf-8,709.025357ms,,ecbfd1a
SsoIdentityProvider,https://querybuscas.com/api/SsoIdentityProvider,,25,404,1468,18,12,text/html; charset=utf-8,719.857797ms,,ecbfd19
StorePoint,https://querybuscas.com/api/StorePoint,,27,404,1459,18,12,text/html; charset=utf-8,798.676793ms,,ecbfd1b
about,https://querybuscas.com/api/about,,28,404,1454,18,12,text/html; charset=utf-8,1.298646911s,,ecbfd1c
access,https://querybuscas.com/api/access,,29,404,1455,18,12,text/html; charset=utf-8,696.132415ms,,ecbfd1d
accounts,https://querybuscas.com/api/accounts,,31,404,1457,18,12,text/html; charset=utf-8,639.493115ms,,ecbfd1f
account,https://querybuscas.com/api/account,,30,404,1456,18,12,text/html; charset=utf-8,964.596119ms,,ecbfd1e
activate,https://querybuscas.com/api/activate,,32,404,1457,18,12,text/html; charset=utf-8,731.381265ms,,ecbfd20
add,https://querybuscas.com/api/add,,33,404,1452,18,12,text/html; charset=utf-8,721.161036ms,,ecbfd21
admin,https://querybuscas.com/api/admin,,35,401,47,2,1,application/json; charset=utf-8,670.691145ms,,ecbfd23
address,https://querybuscas.com/api/address,,34,404,1456,18,12,text/html; charset=utf-8,868.611487ms,,ecbfd22
administrador,https://querybuscas.com/api/administrador,,36,404,1462,18,12,text/html; charset=utf-8,1.065045262s,,ecbfd24
administrators,https://querybuscas.com/api/administrators,,37,404,1463,18,12,text/html; charset=utf-8,893.762065ms,,ecbfd25
admins,https://querybuscas.com/api/admins,,38,404,1455,18,12,text/html; charset=utf-8,889.39992ms,,ecbfd26
advanced,https://querybuscas.com/api/advanced,,39,404,1457,18,12,text/html; charset=utf-8,755.753442ms,,ecbfd27
advanced_search,https://querybuscas.com/api/advanced_search,,40,404,1464,18,12,text/html; charset=utf-8,551.126588ms,,ecbfd28
alert,https://querybuscas.com/api/alert,,41,404,1454,18,12,text/html; charset=utf-8,691.545848ms,,ecbfd29
all,https://querybuscas.com/api/all,,42,404,1452,18,12,text/html; charset=utf-8,700.474017ms,,ecbfd2a
api-doc,https://querybuscas.com/api/api-doc,,44,404,1456,18,12,text/html; charset=utf-8,711.263487ms,,ecbfd2c
api-docs,https://querybuscas.com/api/api-docs,,45,404,1457,18,12,text/html; charset=utf-8,741.419699ms,,ecbfd2d
api-docs/v1/openapi.json,https://querybuscas.com/api/api-docs/v1/openapi.json,,46,404,1473,18,12,text/html; charset=utf-8,557.345058ms,,ecbfd2e
api/ads,https://querybuscas.com/api/api/ads,,47,404,1456,18,12,text/html; charset=utf-8,557.2515ms,,ecbfd2f
api/announcements,https://querybuscas.com/api/api/announcements,,48,404,1466,18,12,text/html; charset=utf-8,721.972068ms,,ecbfd30
api/api,https://querybuscas.com/api/api/api,,49,404,1456,18,12,text/html; charset=utf-8,721.654362ms,,ecbfd31
api/api-docs,https://querybuscas.com/api/api/api-docs,,50,404,1461,18,12,text/html; charset=utf-8,720.458529ms,,ecbfd32
api/apidocs,https://querybuscas.com/api/api/apidocs,,51,404,1460,18,12,text/html; charset=utf-8,721.447585ms,,ecbfd33
api/apidocs/swagger.json,https://querybuscas.com/api/api/apidocs/swagger.json,,52,404,1473,18,12,text/html; charset=utf-8,676.681441ms,,ecbfd34
api/application.wadl,https://querybuscas.com/api/api/application.wadl,,53,404,1469,18,12,text/html; charset=utf-8,677.429411ms,,ecbfd35
api/auth,https://querybuscas.com/api/api/auth,,54,404,1457,18,12,text/html; charset=utf-8,674.480133ms,,ecbfd36
api/auth/guest,https://querybuscas.com/api/api/auth/guest,,55,404,1463,18,12,text/html; charset=utf-8,574.198009ms,,ecbfd37
api/auth/login,https://querybuscas.com/api/api/auth/login,,56,404,1463,18,12,text/html; charset=utf-8,701.418177ms,,ecbfd38
api/auth/logout,https://querybuscas.com/api/api/auth/logout,,57,404,1464,18,12,text/html; charset=utf-8,700.828047ms,,ecbfd39
api/batch,https://querybuscas.com/api/api/batch,,58,404,1458,18,12,text/html; charset=utf-8,693.559542ms,,ecbfd3a
api/billing,https://querybuscas.com/api/api/billing,,59,404,1460,18,12,text/html; charset=utf-8,709.293431ms,,ecbfd3b
api/branches,https://querybuscas.com/api/api/branches,,60,404,1461,18,12,text/html; charset=utf-8,880.513431ms,,ecbfd3c
api/brands,https://querybuscas.com/api/api/brands,,61,404,1459,18,12,text/html; charset=utf-8,709.387877ms,,ecbfd3d
api/campaign,https://querybuscas.com/api/api/campaign,,63,404,1461,18,12,text/html; charset=utf-8,656.933989ms,,ecbfd3f
api/call,https://querybuscas.com/api/api/call,,62,404,1457,18,12,text/html; charset=utf-8,843.047326ms,,ecbfd3e
api/cart/create,https://querybuscas.com/api/api/cart/create,,65,404,1464,18,12,text/html; charset=utf-8,689.970337ms,,ecbfd41
api/cart,https://querybuscas.com/api/api/cart,,64,404,1457,18,12,text/html; charset=utf-8,690.293982ms,,ecbfd40
api/chat/categories,https://querybuscas.com/api/api/chat/categories,,67,404,1468,18,12,text/html; charset=utf-8,690.832786ms,,ecbfd43
api/chat,https://querybuscas.com/api/api/chat,,66,404,1457,18,12,text/html; charset=utf-8,838.722036ms,,ecbfd42
api/check,https://querybuscas.com/api/api/check,,69,404,1458,18,12,text/html; charset=utf-8,679.24338ms,,ecbfd45
api/chat/completions,https://querybuscas.com/api/api/chat/completions,,68,404,1469,18,12,text/html; charset=utf-8,679.167678ms,,ecbfd44
api/checkin,https://querybuscas.com/api/api/checkin,,70,404,1460,18,12,text/html; charset=utf-8,553.60835ms,,ecbfd46
api/clients,https://querybuscas.com/api/api/clients,,71,404,1460,18,12,text/html; charset=utf-8,692.973619ms,,ecbfd47
api/config,https://querybuscas.com/api/api/config,,72,404,1459,18,12,text/html; charset=utf-8,520.25429ms,,ecbfd48
api/config.json,https://querybuscas.com/api/api/config.json,,73,404,1464,18,12,text/html; charset=utf-8,664.44058ms,,ecbfd49
api/contents,https://querybuscas.com/api/api/contents,,74,404,1461,18,12,text/html; charset=utf-8,716.603157ms,,ecbfd4a
api/csp_report,https://querybuscas.com/api/api/csp_report,,75,404,1463,18,12,text/html; charset=utf-8,650.297102ms,,ecbfd4b
api/custom,https://querybuscas.com/api/api/custom,,76,404,1459,18,12,text/html; charset=utf-8,844.704599ms,,ecbfd4c
api/customer,https://querybuscas.com/api/api/customer,,77,404,1461,18,12,text/html; charset=utf-8,716.318558ms,,ecbfd4d
api/docs,https://querybuscas.com/api/api/docs,,78,404,1457,18,12,text/html; charset=utf-8,631.791344ms,,ecbfd4e
api/docs/,https://querybuscas.com/api/api/docs/,,79,404,1458,18,12,text/html; charset=utf-8,701.039158ms,,ecbfd4f
api/domains,https://querybuscas.com/api/api/domains,,80,404,1460,18,12,text/html; charset=utf-8,657.924185ms,,ecbfd50
api/geo,https://querybuscas.com/api/api/geo,,82,404,1456,18,12,text/html; charset=utf-8,663.65627ms,,ecbfd52
api/events,https://querybuscas.com/api/api/events,,81,404,1459,18,12,text/html; charset=utf-8,694.277641ms,,ecbfd51
api/get,https://querybuscas.com/api/api/get,,83,404,1456,18,12,text/html; charset=utf-8,657.944318ms,,ecbfd53
api/graphql,https://querybuscas.com/api/api/graphql,,84,404,1460,18,12,text/html; charset=utf-8,663.280765ms,,ecbfd54
api/health,https://querybuscas.com/api/api/health,,85,404,1459,18,12,text/html; charset=utf-8,641.393546ms,,ecbfd55
api/identity,https://querybuscas.com/api/api/identity,,86,404,1461,18,12,text/html; charset=utf-8,636.467971ms,,ecbfd56
api/identity/envelope,https://querybuscas.com/api/api/identity/envelope,,87,404,1470,18,12,text/html; charset=utf-8,517.000246ms,,ecbfd57
api/index.html,https://querybuscas.com/api/api/index.html,,88,404,1463,18,12,text/html; charset=utf-8,478.721316ms,,ecbfd58
api/insights,https://querybuscas.com/api/api/insights,,91,404,1461,18,12,text/html; charset=utf-8,682.73372ms,,ecbfd5b
api/info.json,https://querybuscas.com/api/api/info.json,,89,404,1462,18,12,text/html; charset=utf-8,709.092573ms,,ecbfd59
api/init,https://querybuscas.com/api/api/init,,90,404,1457,18,12,text/html; charset=utf-8,853.782452ms,,ecbfd5a
api/jobs,https://querybuscas.com/api/api/jobs,,93,404,1457,18,12,text/html; charset=utf-8,700.72836ms,,ecbfd5d
api/jsonpcallback,https://querybuscas.com/api/api/jsonpcallback,,95,404,1466,18,12,text/html; charset=utf-8,555.921642ms,,ecbfd5f
api/jolokia/read,https://querybuscas.com/api/api/jolokia/read,,94,404,1465,18,12,text/html; charset=utf-8,855.982442ms,,ecbfd5e
api/ip/info,https://querybuscas.com/api/api/ip/info,,92,404,1460,18,12,text/html; charset=utf-8,1.101998444s,,ecbfd5c
api/jsonws/invoke,https://querybuscas.com/api/api/jsonws/invoke,,97,404,1466,18,12,text/html; charset=utf-8,687.69591ms,,ecbfd61
api/jsonws,https://querybuscas.com/api/api/jsonws,,96,404,1459,18,12,text/html; charset=utf-8,723.742229ms,,ecbfd60
api/links,https://querybuscas.com/api/api/links,,98,404,1458,18,12,text/html; charset=utf-8,553.396306ms,,ecbfd62
api/log,https://querybuscas.com/api/api/log,,99,404,1456,18,12,text/html; charset=utf-8,714.141792ms,,ecbfd63
api/menus,https://querybuscas.com/api/api/menus,,102,404,1458,18,12,text/html; charset=utf-8,652.481322ms,,ecbfd66
api/logout,https://querybuscas.com/api/api/logout,,101,404,1459,18,12,text/html; charset=utf-8,678.643675ms,,ecbfd65
