FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,duration,resultfile,Ffufhash
admin,https://api.querybuscas.com/api/admin,,35,401,42,2,1,application/json; charset=utf-8,547.436168ms,,9e14f23
api/brands,https://api.querybuscas.com/api/api/brands,,61,429,17,3,2,text/plain; charset=UTF-8,416.464416ms,,9e14f3d
api/campaign,https://api.querybuscas.com/api/api/campaign,,63,429,17,3,2,text/plain; charset=UTF-8,333.324262ms,,9e14f3f
api/call,https://api.querybuscas.com/api/api/call,,62,429,17,3,2,text/plain; charset=UTF-8,377.644975ms,,9e14f3e
api/chat/categories,https://api.querybuscas.com/api/api/chat/categories,,67,429,17,3,2,text/plain; charset=UTF-8,353.405394ms,,9e14f43
api/chat,https://api.querybuscas.com/api/api/chat,,66,429,17,3,2,text/plain; charset=UTF-8,398.080371ms,,9e14f42
api/cart/create,https://api.querybuscas.com/api/api/cart/create,,65,429,17,3,2,text/plain; charset=UTF-8,441.168946ms,,9e14f41
api/cart,https://api.querybuscas.com/api/api/cart,,64,429,17,3,2,text/plain; charset=UTF-8,484.679382ms,,9e14f40
api/chat/completions,https://api.querybuscas.com/api/api/chat/completions,,68,429,17,3,2,text/plain; charset=UTF-8,381.519564ms,,9e14f44
api/check,https://api.querybuscas.com/api/api/check,,69,429,17,3,2,text/plain; charset=UTF-8,399.003367ms,,9e14f45
api/checkin,https://api.querybuscas.com/api/api/checkin,,70,429,17,3,2,text/plain; charset=UTF-8,375.953826ms,,9e14f46
api/config,https://api.querybuscas.com/api/api/config,,72,429,17,3,2,text/plain; charset=UTF-8,390.681371ms,,9e14f48
api/clients,https://api.querybuscas.com/api/api/clients,,71,429,17,3,2,text/plain; charset=UTF-8,391.282878ms,,9e14f47
api/config.json,https://api.querybuscas.com/api/api/config.json,,73,429,17,3,2,text/plain; charset=UTF-8,393.138746ms,,9e14f49
api/contents,https://api.querybuscas.com/api/api/contents,,74,429,17,3,2,text/plain; charset=UTF-8,398.034656ms,,9e14f4a
api/csp_report,https://api.querybuscas.com/api/api/csp_report,,75,429,17,3,2,text/plain; charset=UTF-8,471.936843ms,,9e14f4b
api/docs/,https://api.querybuscas.com/api/api/docs/,,79,429,17,3,2,text/plain; charset=UTF-8,347.099799ms,,9e14f4f
api/docs,https://api.querybuscas.com/api/api/docs,,78,429,17,3,2,text/plain; charset=UTF-8,390.972257ms,,9e14f4e
api/customer,https://api.querybuscas.com/api/api/customer,,77,429,17,3,2,text/plain; charset=UTF-8,390.822179ms,,9e14f4d
api/domains,https://api.querybuscas.com/api/api/domains,,80,429,17,3,2,text/plain; charset=UTF-8,347.891961ms,,9e14f50
api/custom,https://api.querybuscas.com/api/api/custom,,76,429,17,3,2,text/plain; charset=UTF-8,392.653799ms,,9e14f4c
api/get,https://api.querybuscas.com/api/api/get,,83,429,17,3,2,text/plain; charset=UTF-8,359.473627ms,,9e14f53
