FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,duration,resultfile,Ffufhash
.bash_history,https://api.querybuscas.com/pages/.bash_history,,1,404,9,2,1,text/html; charset=utf-8,962.367072ms,,f54fa1
.config,https://api.querybuscas.com/pages/.config,,4,404,9,2,1,text/html; charset=utf-8,992.253489ms,,f54fa4
.cache,https://api.querybuscas.com/pages/.cache,,3,404,9,2,1,text/html; charset=utf-8,1.015487514s,,f54fa3
.bashrc,https://api.querybuscas.com/pages/.bashrc,,2,404,9,2,1,text/html; charset=utf-8,994.337081ms,,f54fa2
.cvsignore,https://api.querybuscas.com/pages/.cvsignore,,6,404,9,2,1,text/html; charset=utf-8,594.349615ms,,f54fa6
.cvs,https://api.querybuscas.com/pages/.cvs,,5,404,9,2,1,text/html; charset=utf-8,662.222442ms,,f54fa5
.env,https://api.querybuscas.com/pages/.env,,7,404,9,2,1,text/html; charset=utf-8,624.050839ms,,f54fa7
.forward,https://api.querybuscas.com/pages/.forward,,8,404,9,2,1,text/html; charset=utf-8,656.181614ms,,f54fa8
.git-rewrite,https://api.querybuscas.com/pages/.git-rewrite,,10,404,9,2,1,text/html; charset=utf-8,590.542845ms,,f54faa
.git,https://api.querybuscas.com/pages/.git,,9,404,9,2,1,text/html; charset=utf-8,696.497527ms,,f54fa9
.git/HEAD,https://api.querybuscas.com/pages/.git/HEAD,,11,404,9,2,1,text/html; charset=utf-8,593.254355ms,,f54fab
.git/config,https://api.querybuscas.com/pages/.git/config,,12,404,9,2,1,text/html; charset=utf-8,642.072666ms,,f54fac
.git/index,https://api.querybuscas.com/pages/.git/index,,13,404,9,2,1,text/html; charset=utf-8,745.137762ms,,f54fad
.git/logs/,https://api.querybuscas.com/pages/.git/logs/,,14,404,9,2,1,text/html; charset=utf-8,686.760325ms,,f54fae
.git_release,https://api.querybuscas.com/pages/.git_release,,15,404,9,2,1,text/html; charset=utf-8,620.172241ms,,f54faf
.gitattributes,https://api.querybuscas.com/pages/.gitattributes,,16,404,9,2,1,text/html; charset=utf-8,867.897314ms,,f54fa10
.gitconfig,https://api.querybuscas.com/pages/.gitconfig,,17,404,9,2,1,text/html; charset=utf-8,622.275534ms,,f54fa11
.gitignore,https://api.querybuscas.com/pages/.gitignore,,18,404,9,2,1,text/html; charset=utf-8,593.773146ms,,f54fa12
.gitk,https://api.querybuscas.com/pages/.gitk,,19,404,9,2,1,text/html; charset=utf-8,671.328346ms,,f54fa13
.gitkeep,https://api.querybuscas.com/pages/.gitkeep,,20,404,9,2,1,text/html; charset=utf-8,685.828625ms,,f54fa14
.gitreview,https://api.querybuscas.com/pages/.gitreview,,22,404,9,2,1,text/html; charset=utf-8,644.77501ms,,f54fa16
.gitmodules,https://api.querybuscas.com/pages/.gitmodules,,21,404,9,2,1,text/html; charset=utf-8,733.097415ms,,f54fa15
.history,https://api.querybuscas.com/pages/.history,,23,404,9,2,1,text/html; charset=utf-8,695.957766ms,,f54fa17
.hta,https://api.querybuscas.com/pages/.hta,,24,404,9,2,1,text/html; charset=utf-8,695.39805ms,,f54fa18
.htaccess,https://api.querybuscas.com/pages/.htaccess,,25,404,9,2,1,text/html; charset=utf-8,649.546538ms,,f54fa19
.htpasswd,https://api.querybuscas.com/pages/.htpasswd,,26,404,9,2,1,text/html; charset=utf-8,588.703494ms,,f54fa1a
.listing,https://api.querybuscas.com/pages/.listing,,27,404,9,2,1,text/html; charset=utf-8,846.304427ms,,f54fa1b
.listings,https://api.querybuscas.com/pages/.listings,,28,404,9,2,1,text/html; charset=utf-8,560.774261ms,,f54fa1c
.passwd,https://api.querybuscas.com/pages/.passwd,,30,404,9,2,1,text/html; charset=utf-8,591.430752ms,,f54fa1e
.mysql_history,https://api.querybuscas.com/pages/.mysql_history,,29,404,9,2,1,text/html; charset=utf-8,630.739448ms,,f54fa1d
.perf,https://api.querybuscas.com/pages/.perf,,31,404,9,2,1,text/html; charset=utf-8,596.6947ms,,f54fa1f
.profile,https://api.querybuscas.com/pages/.profile,,32,404,9,2,1,text/html; charset=utf-8,720.470265ms,,f54fa20
.sh_history,https://api.querybuscas.com/pages/.sh_history,,34,404,9,2,1,text/html; charset=utf-8,740.028481ms,,f54fa22
.rhosts,https://api.querybuscas.com/pages/.rhosts,,33,404,9,2,1,text/html; charset=utf-8,761.215257ms,,f54fa21
.ssh,https://api.querybuscas.com/pages/.ssh,,35,404,9,2,1,text/html; charset=utf-8,656.566102ms,,f54fa23
.subversion,https://api.querybuscas.com/pages/.subversion,,36,404,9,2,1,text/html; charset=utf-8,655.141702ms,,f54fa24
.svn/entries,https://api.querybuscas.com/pages/.svn/entries,,38,404,9,2,1,text/html; charset=utf-8,642.045606ms,,f54fa26
.svn,https://api.querybuscas.com/pages/.svn,,37,404,9,2,1,text/html; charset=utf-8,685.596659ms,,f54fa25
.svnignore,https://api.querybuscas.com/pages/.svnignore,,39,404,9,2,1,text/html; charset=utf-8,567.147535ms,,f54fa27
.swf,https://api.querybuscas.com/pages/.swf,,40,404,9,2,1,text/html; charset=utf-8,960.161792ms,,f54fa28
.web,https://api.querybuscas.com/pages/.web,,41,404,9,2,1,text/html; charset=utf-8,779.162559ms,,f54fa29
.well-known/acme-challenge,https://api.querybuscas.com/pages/.well-known/acme-challenge,,42,404,9,2,1,text/html; charset=utf-8,736.325162ms,,f54fa2a
.well-known/apple-app-site-association,https://api.querybuscas.com/pages/.well-known/apple-app-site-association,,43,404,9,2,1,text/html; charset=utf-8,727.169339ms,,f54fa2b
.well-known/apple-developer-merchantid-domain-association,https://api.querybuscas.com/pages/.well-known/apple-developer-merchantid-domain-association,,44,404,9,2,1,text/html; charset=utf-8,708.271076ms,,f54fa2c
.well-known/ashrae,https://api.querybuscas.com/pages/.well-known/ashrae,,45,404,9,2,1,text/html; charset=utf-8,668.328263ms,,f54fa2d
.well-known/assetlinks.json,https://api.querybuscas.com/pages/.well-known/assetlinks.json,,46,404,9,2,1,text/html; charset=utf-8,720.170701ms,,f54fa2e
.well-known/autoconfig/mail,https://api.querybuscas.com/pages/.well-known/autoconfig/mail,,47,404,9,2,1,text/html; charset=utf-8,642.813623ms,,f54fa2f
.well-known/browserid,https://api.querybuscas.com/pages/.well-known/browserid,,48,404,9,2,1,text/html; charset=utf-8,575.380827ms,,f54fa30
.well-known/caldav,https://api.querybuscas.com/pages/.well-known/caldav,,49,404,9,2,1,text/html; charset=utf-8,565.818881ms,,f54fa31
.well-known/change-password,https://api.querybuscas.com/pages/.well-known/change-password,,51,404,9,2,1,text/html; charset=utf-8,673.043744ms,,f54fa33
.well-known/carddav,https://api.querybuscas.com/pages/.well-known/carddav,,50,404,9,2,1,text/html; charset=utf-8,722.497418ms,,f54fa32
.well-known/coap,https://api.querybuscas.com/pages/.well-known/coap,,52,404,9,2,1,text/html; charset=utf-8,629.323125ms,,f54fa34
.well-known/core,https://api.querybuscas.com/pages/.well-known/core,,53,404,9,2,1,text/html; charset=utf-8,715.691853ms,,f54fa35
.well-known/csvm,https://api.querybuscas.com/pages/.well-known/csvm,,54,404,9,2,1,text/html; charset=utf-8,597.063376ms,,f54fa36
.well-known/dnt,https://api.querybuscas.com/pages/.well-known/dnt,,55,404,9,2,1,text/html; charset=utf-8,679.848395ms,,f54fa37
.well-known/dnt-policy.txt,https://api.querybuscas.com/pages/.well-known/dnt-policy.txt,,56,404,9,2,1,text/html; charset=utf-8,682.007186ms,,f54fa38
.well-known/ecips,https://api.querybuscas.com/pages/.well-known/ecips,,58,404,9,2,1,text/html; charset=utf-8,595.591395ms,,f54fa3a
.well-known/dots,https://api.querybuscas.com/pages/.well-known/dots,,57,404,9,2,1,text/html; charset=utf-8,755.750284ms,,f54fa39
.well-known/enterprise-transport-security,https://api.querybuscas.com/pages/.well-known/enterprise-transport-security,,59,404,9,2,1,text/html; charset=utf-8,655.769428ms,,f54fa3b
.well-known/genid,https://api.querybuscas.com/pages/.well-known/genid,,61,404,9,2,1,text/html; charset=utf-8,692.318686ms,,f54fa3d
.well-known/est,https://api.querybuscas.com/pages/.well-known/est,,60,404,9,2,1,text/html; charset=utf-8,759.889815ms,,f54fa3c
.well-known/hoba,https://api.querybuscas.com/pages/.well-known/hoba,,62,404,9,2,1,text/html; charset=utf-8,715.579275ms,,f54fa3e
.well-known/host-meta,https://api.querybuscas.com/pages/.well-known/host-meta,,63,404,9,2,1,text/html; charset=utf-8,770.018941ms,,f54fa3f
.well-known/host-meta.json,https://api.querybuscas.com/pages/.well-known/host-meta.json,,64,404,9,2,1,text/html; charset=utf-8,613.817772ms,,f54fa40
.well-known/http-opportunistic,https://api.querybuscas.com/pages/.well-known/http-opportunistic,,65,404,9,2,1,text/html; charset=utf-8,618.661579ms,,f54fa41
.well-known/jmap,https://api.querybuscas.com/pages/.well-known/jmap,,67,404,9,2,1,text/html; charset=utf-8,615.201823ms,,f54fa43
.well-known/idp-proxy,https://api.querybuscas.com/pages/.well-known/idp-proxy,,66,404,9,2,1,text/html; charset=utf-8,741.467815ms,,f54fa42
.well-known/jwks.json,https://api.querybuscas.com/pages/.well-known/jwks.json,,68,404,9,2,1,text/html; charset=utf-8,549.383673ms,,f54fa44
.well-known/keybase.txt,https://api.querybuscas.com/pages/.well-known/keybase.txt,,69,404,9,2,1,text/html; charset=utf-8,549.790245ms,,f54fa45
.well-known/matrix,https://api.querybuscas.com/pages/.well-known/matrix,,71,404,9,2,1,text/html; charset=utf-8,697.259321ms,,f54fa47
.well-known/looking-glass,https://api.querybuscas.com/pages/.well-known/looking-glass,,70,404,9,2,1,text/html; charset=utf-8,840.021101ms,,f54fa46
.well-known/mta-sts.txt,https://api.querybuscas.com/pages/.well-known/mta-sts.txt,,73,404,9,2,1,text/html; charset=utf-8,641.905868ms,,f54fa49
.well-known/mercure,https://api.querybuscas.com/pages/.well-known/mercure,,72,404,9,2,1,text/html; charset=utf-8,647.16481ms,,f54fa48
.well-known/mud,https://api.querybuscas.com/pages/.well-known/mud,,74,404,9,2,1,text/html; charset=utf-8,672.571316ms,,f54fa4a
.well-known/nfv-oauth-server-configuration,https://api.querybuscas.com/pages/.well-known/nfv-oauth-server-configuration,,75,404,9,2,1,text/html; charset=utf-8,551.375551ms,,f54fa4b
.well-known/nodeinfo,https://api.querybuscas.com/pages/.well-known/nodeinfo,,77,404,9,2,1,text/html; charset=utf-8,589.354887ms,,f54fa4d
.well-known/ni,https://api.querybuscas.com/pages/.well-known/ni,,76,404,9,2,1,text/html; charset=utf-8,760.957663ms,,f54fa4c
.well-known/oauth-authorization-server,https://api.querybuscas.com/pages/.well-known/oauth-authorization-server,,78,404,9,2,1,text/html; charset=utf-8,731.87121ms,,f54fa4e
.well-known/openid-configuration,https://api.querybuscas.com/pages/.well-known/openid-configuration,,79,404,9,2,1,text/html; charset=utf-8,720.247278ms,,f54fa4f
.well-known/openid-federation,https://api.querybuscas.com/pages/.well-known/openid-federation,,80,404,9,2,1,text/html; charset=utf-8,856.955383ms,,f54fa50
.well-known/openorg,https://api.querybuscas.com/pages/.well-known/openorg,,81,404,9,2,1,text/html; charset=utf-8,742.60727ms,,f54fa51
.well-known/openpgpkey,https://api.querybuscas.com/pages/.well-known/openpgpkey,,82,404,9,2,1,text/html; charset=utf-8,547.485798ms,,f54fa52
.well-known/pki-validation,https://api.querybuscas.com/pages/.well-known/pki-validation,,83,404,9,2,1,text/html; charset=utf-8,573.163747ms,,f54fa53
.well-known/posh,https://api.querybuscas.com/pages/.well-known/posh,,84,404,9,2,1,text/html; charset=utf-8,581.800295ms,,f54fa54
.well-known/pvd,https://api.querybuscas.com/pages/.well-known/pvd,,85,404,9,2,1,text/html; charset=utf-8,629.085855ms,,f54fa55
.well-known/reload-config,https://api.querybuscas.com/pages/.well-known/reload-config,,86,404,9,2,1,text/html; charset=utf-8,606.179486ms,,f54fa56
.well-known/repute-template,https://api.querybuscas.com/pages/.well-known/repute-template,,87,404,9,2,1,text/html; charset=utf-8,673.855993ms,,f54fa57
.well-known/resourcesync,https://api.querybuscas.com/pages/.well-known/resourcesync,,88,404,9,2,1,text/html; charset=utf-8,613.942638ms,,f54fa58
.well-known/security.txt,https://api.querybuscas.com/pages/.well-known/security.txt,,89,404,9,2,1,text/html; charset=utf-8,578.109187ms,,f54fa59
