HTTP/1.1 401 Unauthorized
Content-Type: text/xml; charset=UTF-8
Date: Fri, 28 Aug 2026 02:48:57 GMT
Accept-Ranges: bytes
Server: Restlet-Framework/2.2.2
WWW-Authenticate: Digest realm="Wowza", domain="/", nonce="MTc4Nzg4NTMzNzA0MToxMjE1N2IzNzBkM2JiMTEyM2EwZGEwODE2ODA3YWZlMQ==", algorithm=MD5, qop="auth"
Access-Control-Expose-Headers: Date,Server,Content-Type,Content-Length,WWW-Authenticate
Access-Control-Allow-Origin: *
Access-Control-Allow-Credentials: true
Access-Control-Allow-Methods: OPTIONS,GET,PUT,DELETE,POST
Access-Control-Allow-Headers: Content-Type,User-Agent,If-Modified-Since,Cache-Control,Range,Authorization
Connection: keep-alive
Transfer-Encoding: chunked

