FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,duration,resultfile,Ffufhash
ns3,https://3.225.216.40/,,11,403,118,3,7,text/html,1.156233197s,,0d31fb
mail,https://3.225.216.40/,,2,403,118,3,7,text/html,1.157269026s,,0d31f2
pop,https://3.225.216.40/,,9,403,118,3,7,text/html,1.130942899s,,0d31f9
smtp,https://3.225.216.40/,,6,403,118,3,7,text/html,1.241898544s,,0d31f6
www,https://3.225.216.40/,,1,403,118,3,7,text/html,1.241906535s,,0d31f1
imap,https://3.225.216.40/,,12,403,118,3,7,text/html,1.241976607s,,0d31fc
ns1,https://3.225.216.40/,,4,403,118,3,7,text/html,1.242027425s,,0d31f4
ftp,https://3.225.216.40/,,5,403,118,3,7,text/html,1.164834869s,,0d31f5
test,https://3.225.216.40/,,13,403,118,3,7,text/html,1.0139624s,,0d31fd
ns2,https://3.225.216.40/,,3,403,118,3,7,text/html,1.044123146s,,0d31f3
webmail,https://3.225.216.40/,,7,403,118,3,7,text/html,1.183407205s,,0d31f7
sip,https://3.225.216.40/,,15,403,118,3,7,text/html,1.044155112s,,0d31ff
autodiscover,https://3.225.216.40/,,8,403,118,3,7,text/html,1.068587428s,,0d31f8
vpn,https://3.225.216.40/,,14,403,118,3,7,text/html,1.041239665s,,0d31fe
localhost,https://3.225.216.40/,,10,403,118,3,7,text/html,1.040791659s,,0d31fa
api,https://3.225.216.40/,,16,403,118,3,7,text/html,390.509825ms,,0d31f10
support,https://3.225.216.40/,,31,403,118,3,7,text/html,640.186786ms,,0d31f1f
www2,https://3.225.216.40/,,29,403,118,3,7,text/html,839.782269ms,,0d31f1d
cloud,https://3.225.216.40/,,26,403,118,3,7,text/html,894.692707ms,,0d31f1a
wiki,https://3.225.216.40/,,27,403,118,3,7,text/html,894.669849ms,,0d31f1b
cpanel,https://3.225.216.40/,,28,403,118,3,7,text/html,840.248474ms,,0d31f1c
lyncdiscover,https://3.225.216.40/,,24,403,118,3,7,text/html,894.868737ms,,0d31f18
speedtest,https://3.225.216.40/,,25,403,118,3,7,text/html,894.890212ms,,0d31f19
portal,https://3.225.216.40/,,23,403,118,3,7,text/html,946.437878ms,,0d31f17
cdn,https://3.225.216.40/,,20,403,118,3,7,text/html,946.780932ms,,0d31f14
pop3,https://3.225.216.40/,,19,403,118,3,7,text/html,946.930786ms,,0d31f13
ns4,https://3.225.216.40/,,21,403,118,3,7,text/html,946.735386ms,,0d31f15
m,https://3.225.216.40/,,22,403,118,3,7,text/html,946.685379ms,,0d31f16
dev,https://3.225.216.40/,,18,403,118,3,7,text/html,947.227198ms,,0d31f12
ns,https://3.225.216.40/,,17,403,118,3,7,text/html,1.031685355s,,0d31f11
admin,https://3.225.216.40/,,30,403,118,3,7,text/html,839.975674ms,,0d31f1e
blog,https://3.225.216.40/,,34,403,118,3,7,text/html,327.883671ms,,0d31f22
dns2,https://3.225.216.40/,,32,403,118,3,7,text/html,329.951516ms,,0d31f20
git,https://3.225.216.40/,,33,403,118,3,7,text/html,371.472178ms,,0d31f21
new,https://3.225.216.40/,,46,403,118,3,7,text/html,370.567951ms,,0d31f2e
mail2,https://3.225.216.40/,,40,403,118,3,7,text/html,376.274953ms,,0d31f28
enterpriseenrollment,https://3.225.216.40/,,35,403,118,3,7,text/html,376.208436ms,,0d31f23
enterpriseregistration,https://3.225.216.40/,,36,403,118,3,7,text/html,388.867214ms,,0d31f24
dns1,https://3.225.216.40/,,37,403,118,3,7,text/html,388.825566ms,,0d31f25
web,https://3.225.216.40/,,41,403,118,3,7,text/html,410.595799ms,,0d31f29
ntp,https://3.225.216.40/,,39,403,118,3,7,text/html,411.506017ms,,0d31f27
autoconfig,https://3.225.216.40/,,38,403,118,3,7,text/html,434.893468ms,,0d31f26
zabbix,https://3.225.216.40/,,44,403,118,3,7,text/html,435.704924ms,,0d31f2c
email,https://3.225.216.40/,,43,403,118,3,7,text/html,435.966309ms,,0d31f2b
dns,https://3.225.216.40/,,42,403,118,3,7,text/html,436.15812ms,,0d31f2a
docs,https://3.225.216.40/,,45,403,118,3,7,text/html,436.048419ms,,0d31f2d
old,https://3.225.216.40/,,48,403,118,3,7,text/html,371.902328ms,,0d31f30
images,https://3.225.216.40/,,47,403,118,3,7,text/html,372.591865ms,,0d31f2f
app,https://3.225.216.40/,,49,403,118,3,7,text/html,401.425786ms,,0d31f31
demo,https://3.225.216.40/,,50,403,118,3,7,text/html,401.694998ms,,0d31f32
news,https://3.225.216.40/,,52,403,118,3,7,text/html,394.116863ms,,0d31f34
msoid,https://3.225.216.40/,,51,403,118,3,7,text/html,394.14597ms,,0d31f33
chat,https://3.225.216.40/,,56,403,118,3,7,text/html,377.212379ms,,0d31f38
mx,https://3.225.216.40/,,55,403,118,3,7,text/html,378.299907ms,,0d31f37
proxy,https://3.225.216.40/,,53,403,118,3,7,text/html,423.24175ms,,0d31f35
monitor,https://3.225.216.40/,,54,403,118,3,7,text/html,423.547667ms,,0d31f36
staging,https://3.225.216.40/,,60,403,118,3,7,text/html,549.513868ms,,0d31f3c
whm,https://3.225.216.40/,,57,403,118,3,7,text/html,551.287522ms,,0d31f39
crm,https://3.225.216.40/,,61,403,118,3,7,text/html,561.162494ms,,0d31f3d
gitlab,https://3.225.216.40/,,59,403,118,3,7,text/html,561.774366ms,,0d31f3b
webdisk,https://3.225.216.40/,,58,403,118,3,7,text/html,562.020593ms,,0d31f3a
my,https://3.225.216.40/,,62,403,118,3,7,text/html,400.285968ms,,0d31f3e
intranet,https://3.225.216.40/,,63,403,118,3,7,text/html,400.26157ms,,0d31f3f
backup,https://3.225.216.40/,,64,403,118,3,7,text/html,399.0707ms,,0d31f40
mx1,https://3.225.216.40/,,65,403,118,3,7,text/html,399.085611ms,,0d31f41
css,https://3.225.216.40/,,67,403,118,3,7,text/html,399.200912ms,,0d31f43
shop,https://3.225.216.40/,,68,403,118,3,7,text/html,380.655698ms,,0d31f44
cpcontacts,https://3.225.216.40/,,66,403,118,3,7,text/html,399.554229ms,,0d31f42
forum,https://3.225.216.40/,,71,403,118,3,7,text/html,434.739784ms,,0d31f47
cpcalendars,https://3.225.216.40/,,69,403,118,3,7,text/html,457.874481ms,,0d31f45
voip,https://3.225.216.40/,,70,403,118,3,7,text/html,434.952645ms,,0d31f46
lists,https://3.225.216.40/,,73,403,118,3,7,text/html,372.989254ms,,0d31f49
thumbs,https://3.225.216.40/,,72,403,118,3,7,text/html,373.634053ms,,0d31f48
ns5,https://3.225.216.40/,,74,403,118,3,7,text/html,361.993741ms,,0d31f4a
cms,https://3.225.216.40/,,75,403,118,3,7,text/html,469.639448ms,,0d31f4b
media,https://3.225.216.40/,,76,403,118,3,7,text/html,469.880509ms,,0d31f4c
grafana,https://3.225.216.40/,,79,403,118,3,7,text/html,338.337706ms,,0d31f4f
beta,https://3.225.216.40/,,77,403,118,3,7,text/html,408.922336ms,,0d31f4d
content,https://3.225.216.40/,,78,403,118,3,7,text/html,408.966921ms,,0d31f4e
secure,https://3.225.216.40/,,86,403,118,3,7,text/html,456.830932ms,,0d31f56
mx2,https://3.225.216.40/,,80,403,118,3,7,text/html,534.937619ms,,0d31f50
unifi,https://3.225.216.40/,,82,403,118,3,7,text/html,534.633207ms,,0d31f52
office,https://3.225.216.40/,,81,403,118,3,7,text/html,534.787703ms,,0d31f51
cdni,https://3.225.216.40/,,83,403,118,3,7,text/html,534.50953ms,,0d31f53
stats,https://3.225.216.40/,,84,403,118,3,7,text/html,457.201653ms,,0d31f54
video,https://3.225.216.40/,,88,403,118,3,7,text/html,454.715131ms,,0d31f58
auth,https://3.225.216.40/,,87,403,118,3,7,text/html,455.173161ms,,0d31f57
helpdesk,https://3.225.216.40/,,85,403,118,3,7,text/html,567.551765ms,,0d31f55
mobile,https://3.225.216.40/,,89,403,118,3,7,text/html,525.951179ms,,0d31f59
www3,https://3.225.216.40/,,90,403,118,3,7,text/html,439.826868ms,,0d31f5a
uthumbs,https://3.225.216.40/,,91,403,118,3,7,text/html,440.238907ms,,0d31f5b
status,https://3.225.216.40/,,94,403,118,3,7,text/html,460.791855ms,,0d31f5e
static,https://3.225.216.40/,,93,403,118,3,7,text/html,460.948482ms,,0d31f5d
uvideos,https://3.225.216.40/,,92,403,118,3,7,text/html,540.905279ms,,0d31f5c
sms,https://3.225.216.40/,,95,403,118,3,7,text/html,345.026403ms,,0d31f5f
login,https://3.225.216.40/,,97,403,118,3,7,text/html,458.236772ms,,0d31f61
home,https://3.225.216.40/,,100,403,118,3,7,text/html,480.751475ms,,0d31f64
tv,https://3.225.216.40/,,98,403,118,3,7,text/html,481.690756ms,,0d31f62
apps,https://3.225.216.40/,,96,403,118,3,7,text/html,481.841828ms,,0d31f60
galleries,https://3.225.216.40/,,99,403,118,3,7,text/html,481.757413ms,,0d31f63
ldap,https://3.225.216.40/,,102,403,118,3,7,text/html,399.728217ms,,0d31f66
download,https://3.225.216.40/,,103,403,118,3,7,text/html,399.106143ms,,0d31f67
calendar,https://3.225.216.40/,,101,403,118,3,7,text/html,398.886636ms,,0d31f65
svn,https://3.225.216.40/,,104,403,118,3,7,text/html,462.852265ms,,0d31f68
ca,https://3.225.216.40/,,105,403,118,3,7,text/html,441.33944ms,,0d31f69
info,https://3.225.216.40/,,106,403,118,3,7,text/html,441.045589ms,,0d31f6a
www1,https://3.225.216.40/,,108,403,118,3,7,text/html,403.045006ms,,0d31f6c
moodle,https://3.225.216.40/,,107,403,118,3,7,text/html,403.35489ms,,0d31f6b
img,https://3.225.216.40/,,109,403,118,3,7,text/html,476.610528ms,,0d31f6d
meet,https://3.225.216.40/,,110,403,118,3,7,text/html,490.258271ms,,0d31f6e
sso,https://3.225.216.40/,,111,403,118,3,7,text/html,377.076179ms,,0d31f6f
hosting,https://3.225.216.40/,,116,403,118,3,7,text/html,375.380705ms,,0d31f74
d,https://3.225.216.40/,,114,403,118,3,7,text/html,406.992395ms,,0d31f72
files,https://3.225.216.40/,,115,403,118,3,7,text/html,407.063317ms,,0d31f73
radius,https://3.225.216.40/,,112,403,118,3,7,text/html,408.230158ms,,0d31f70
nagios,https://3.225.216.40/,,113,403,118,3,7,text/html,407.465152ms,,0d31f71
cacti,https://3.225.216.40/,,118,403,118,3,7,text/html,450.347105ms,,0d31f76
nextcloud,https://3.225.216.40/,,117,403,118,3,7,text/html,450.82649ms,,0d31f75
go,https://3.225.216.40/,,123,403,118,3,7,text/html,3.842424311s,,0d31f7b
help,https://3.225.216.40/,,119,403,118,3,7,text/html,3.868707493s,,0d31f77
link,https://3.225.216.40/,,121,403,118,3,7,text/html,3.874370221s,,0d31f79
mrtg,https://3.225.216.40/,,122,403,118,3,7,text/html,3.851924717s,,0d31f7a
mail1,https://3.225.216.40/,,120,403,118,3,7,text/html,3.874772625s,,0d31f78
remote,https://3.225.216.40/,,128,403,118,3,7,text/html,3.636904995s,,0d31f80
sites,https://3.225.216.40/,,126,403,118,3,7,text/html,3.690739769s,,0d31f7e
cs,https://3.225.216.40/,,130,403,118,3,7,text/html,3.699852852s,,0d31f82
db,https://3.225.216.40/,,129,403,118,3,7,text/html,3.700372489s,,0d31f81
live,https://3.225.216.40/,,125,403,118,3,7,text/html,3.754333848s,,0d31f7d
relay,https://3.225.216.40/,,124,403,118,3,7,text/html,3.75827678s,,0d31f7c
search,https://3.225.216.40/,,127,403,118,3,7,text/html,3.700805741s,,0d31f7f
library,https://3.225.216.40/,,131,403,118,3,7,text/html,3.700289409s,,0d31f83
cwp,https://3.225.216.40/,,132,403,118,3,7,text/html,3.751140688s,,0d31f84
dns3,https://3.225.216.40/,,133,403,118,3,7,text/html,3.751261928s,,0d31f85
service,https://3.225.216.40/,,138,403,118,3,7,text/html,769.493261ms,,0d31f8a
smtp2,https://3.225.216.40/,,135,403,118,3,7,text/html,776.539941ms,,0d31f87
gw,https://3.225.216.40/,,134,403,118,3,7,text/html,776.916667ms,,0d31f86
vpn2,https://3.225.216.40/,,141,403,118,3,7,text/html,706.707841ms,,0d31f8d
time,https://3.225.216.40/,,140,403,118,3,7,text/html,768.9165ms,,0d31f8c
server,https://3.225.216.40/,,137,403,118,3,7,text/html,776.81144ms,,0d31f89
test2,https://3.225.216.40/,,136,403,118,3,7,text/html,777.057254ms,,0d31f88
monitoring,https://3.225.216.40/,,139,403,118,3,7,text/html,770.452081ms,,0d31f8b
alumni,https://3.225.216.40/,,148,403,118,3,7,text/html,584.463993ms,,0d31f94
matrix,https://3.225.216.40/,,145,403,118,3,7,text/html,710.495242ms,,0d31f91
wifi,https://3.225.216.40/,,143,403,118,3,7,text/html,710.724323ms,,0d31f8f
drive,https://3.225.216.40/,,144,403,118,3,7,text/html,710.702813ms,,0d31f90
sftp,https://3.225.216.40/,,142,403,118,3,7,text/html,710.896859ms,,0d31f8e
idp,https://3.225.216.40/,,146,403,118,3,7,text/html,710.670668ms,,0d31f92
services,https://3.225.216.40/,,147,403,118,3,7,text/html,630.535515ms,,0d31f93
mail3,https://3.225.216.40/,,149,403,118,3,7,text/html,341.077727ms,,0d31f95
acs,https://3.225.216.40/,,152,403,118,3,7,text/html,345.53572ms,,0d31f98
noc,https://3.225.216.40/,,150,403,118,3,7,text/html,351.534761ms,,0d31f96
librenms,https://3.225.216.40/,,154,403,118,3,7,text/html,369.65239ms,,0d31f9a
dashboard,https://3.225.216.40/,,157,403,118,3,7,text/html,366.217922ms,,0d31f9d
survey,https://3.225.216.40/,,156,403,118,3,7,text/html,369.978913ms,,0d31f9c
ipv4,https://3.225.216.40/,,153,403,118,3,7,text/html,370.34103ms,,0d31f99
ns6,https://3.225.216.40/,,151,403,118,3,7,text/html,376.459777ms,,0d31f97
pbx,https://3.225.216.40/,,155,403,118,3,7,text/html,370.313154ms,,0d31f9b
jobs,https://3.225.216.40/,,160,403,118,3,7,text/html,388.010203ms,,0d31fa0
erp,https://3.225.216.40/,,159,403,118,3,7,text/html,388.181931ms,,0d31f9f
nms,https://3.225.216.40/,,161,403,118,3,7,text/html,394.776145ms,,0d31fa1
speed,https://3.225.216.40/,,162,403,118,3,7,text/html,395.055639ms,,0d31fa2
en,https://3.225.216.40/,,158,403,118,3,7,text/html,418.004298ms,,0d31f9e
data,https://3.225.216.40/,,163,403,118,3,7,text/html,372.533925ms,,0d31fa3
ns0,https://3.225.216.40/,,167,403,118,3,7,text/html,361.262983ms,,0d31fa7
billing,https://3.225.216.40/,,166,403,118,3,7,text/html,385.795722ms,,0d31fa6
radio,https://3.225.216.40/,,168,403,118,3,7,text/html,361.376297ms,,0d31fa8
test1,https://3.225.216.40/,,169,403,118,3,7,text/html,361.409801ms,,0d31fa9
ssl,https://3.225.216.40/,,165,403,118,3,7,text/html,386.07903ms,,0d31fa5
usa,https://3.225.216.40/,,170,403,118,3,7,text/html,361.436324ms,,0d31faa
lms,https://3.225.216.40/,,164,403,118,3,7,text/html,397.688434ms,,0d31fa4
ipv6,https://3.225.216.40/,,172,403,118,3,7,text/html,403.018662ms,,0d31fac
ws,https://3.225.216.40/,,171,403,118,3,7,text/html,403.411547ms,,0d31fab
mysql,https://3.225.216.40/,,177,403,118,3,7,text/html,355.680306ms,,0d31fb1
connect,https://3.225.216.40/,,176,403,118,3,7,text/html,378.518479ms,,0d31fb0
ip,https://3.225.216.40/,,174,403,118,3,7,text/html,385.515887ms,,0d31fae
ad,https://3.225.216.40/,,175,403,118,3,7,text/html,378.689709ms,,0d31faf
lg,https://3.225.216.40/,,173,403,118,3,7,text/html,385.575694ms,,0d31fad
online,https://3.225.216.40/,,178,403,118,3,7,text/html,480.177988ms,,0d31fb2
web1,https://3.225.216.40/,,181,403,118,3,7,text/html,340.502334ms,,0d31fb5
it,https://3.225.216.40/,,180,403,118,3,7,text/html,340.980988ms,,0d31fb4
cp,https://3.225.216.40/,,183,403,118,3,7,text/html,375.353512ms,,0d31fb7
c1,https://3.225.216.40/,,179,403,118,3,7,text/html,376.13077ms,,0d31fb3
ticket,https://3.225.216.40/,,185,403,118,3,7,text/html,386.09325ms,,0d31fb9
ai,https://3.225.216.40/,,182,403,118,3,7,text/html,386.615924ms,,0d31fb6
irc,https://3.225.216.40/,,184,403,118,3,7,text/html,386.631726ms,,0d31fb8
stream,https://3.225.216.40/,,192,403,118,3,7,text/html,344.907595ms,,0d31fc0
ntp1,https://3.225.216.40/,,188,403,118,3,7,text/html,350.41642ms,,0d31fbc
owncloud,https://3.225.216.40/,,189,403,118,3,7,text/html,351.759488ms,,0d31fbd
archive,https://3.225.216.40/,,187,403,118,3,7,text/html,357.412726ms,,0d31fbb
web2,https://3.225.216.40/,,186,403,118,3,7,text/html,410.983546ms,,0d31fba
c2,https://3.225.216.40/,,193,403,118,3,7,text/html,402.58615ms,,0d31fc1
